Year,scenario,eol_available_lithium_t,eol_capture_loss_lithium_t,manufacturing_available_lithium_t,manufacturing_capture_loss_lithium_t,total_available_lithium_t,total_capture_loss_lithium_t,capture_loss_rate
2010,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,baseline,0.011818761097603653,0.005298115838887154,0.0,0.0,0.011818761097603653,0.005298115838887153,0.44828013656705423
2012,baseline,0.1302289673780708,0.0577972119187737,0.0,0.0,0.1302289673780708,0.05779721191877372,0.4438122568459079
2013,baseline,0.76073502703122,0.33572105889621506,0.0,0.0,0.76073502703122,0.3357210588962152,0.4413114250915614
2014,baseline,3.384843003306967,1.4945817959799028,0.0,0.0,3.384843003306967,1.4945817959799035,0.4415512904201784
2015,baseline,11.748890683584332,5.204045361276463,84.44049014431633,2.7896494441197346,96.18938082790065,7.993694805396193,0.08310371411682427
2016,baseline,33.53966638284606,14.941212968868578,353.0135354906922,11.875593550218253,386.5532018735383,26.816806519086818,0.06937416735681314
2017,baseline,81.96898718515916,36.70577943978834,560.6372359427388,18.344391291343104,642.6062231278979,55.05017073113144,0.08566703643667453
2018,baseline,176.93182079015838,79.54997167252057,716.2943141911351,23.063391788659732,893.2261349812935,102.61336346118036,0.1148794906939544
2019,baseline,349.62241460526644,157.60902986545045,1193.5201684751821,38.4328293730057,1543.1425830804485,196.04185923845623,0.12704066454255575
2020,baseline,645.0211788348669,291.0319496501427,1336.225189777384,40.67347377119488,1981.2463686122508,331.7054234213375,0.1674226025982211
2021,baseline,1124.7505976668335,505.964951952423,1740.2184583026665,55.86656943416977,2864.9690559695,561.8315213865927,0.19610387072626514
2022,baseline,1889.7605867123198,843.295868879143,3594.082036569889,122.23847788316532,5483.8426232822085,965.5343467623081,0.1760689379857537
2023,baseline,3121.112743752107,1372.9610557629712,5840.981478364899,192.19424133391496,8962.094222117006,1565.155297096886,0.17464169180840952
2024,baseline,5168.757084951465,2226.429365404333,8112.633160700056,281.08285692697865,13281.390245651519,2507.51222233131,0.18879892661480213
2025,baseline,8859.997099826278,3710.0337393650516,10502.384562227726,298.23942789627097,19362.381662054002,4008.2731672613254,0.20701343652969392
