Year,scenario,eol_available_lithium_t,eol_capture_loss_lithium_t,manufacturing_available_lithium_t,manufacturing_capture_loss_lithium_t,total_available_lithium_t,total_capture_loss_lithium_t,capture_loss_rate
2026,baseline,15268.64862920216,6204.407133911559,13793.102244079704,396.2346223753122,29061.750873281864,6600.641756286871,0.22712471058841882
2027,baseline,25441.15093497635,9676.690683513114,15132.60205141193,451.3791273661153,40573.75298638828,10128.069810879235,0.24962122222898653
2028,baseline,40349.733626047026,15000.900908950649,18163.953186176153,515.3563976625837,58513.686812223175,15516.257306613215,0.2651731270396033
2029,baseline,61781.91027752256,22652.612609481497,20871.851900809575,582.6790815508576,82653.76217833214,23235.291691032344,0.2811159598627868
2030,baseline,91632.03333686558,31265.90789451975,21283.41694508304,605.1982626297045,112915.45028194861,31871.106157149457,0.28225637924276675
2031,baseline,130011.10713227185,43166.765521617046,23500.904206412695,652.0787255819607,153512.01133868453,43818.84424719902,0.2854424475653835
2032,baseline,174025.13895563743,55894.1833338874,23822.281750243437,656.0428637368492,197847.42070588088,56550.22619762428,0.285827462374107
2033,baseline,225881.6783651414,69984.3716260628,22698.33891652108,622.8634695208899,248580.01728166244,70607.2350955837,0.2840422809029724
2034,baseline,288316.7550259849,85923.23915305006,23754.65305485881,623.4433864807326,312071.40808084374,86546.68253953081,0.27732974024044665
2035,baseline,358389.7949348645,101699.98809202596,25108.638343247647,639.2920287849789,383498.4332781122,102339.28012081087,0.2668571009430817
2036,baseline,433265.9200566268,117151.96044172894,25706.215750104835,631.4973337725269,458972.1358067316,117783.45777550148,0.25662441918935763
2037,baseline,511878.70973654004,131828.24761022304,26332.71939867133,623.0668026368979,538211.4291352114,132451.31441285988,0.24609532098878
2038,baseline,593154.612672331,145782.90934496812,26951.926607345984,613.4620522115353,620106.539279677,146396.3713971797,0.23608261181576223
2039,baseline,677182.4406809907,159351.1725542134,27639.072669066627,604.6434695575821,704821.5133500574,159955.81602377098,0.2269451385833723
2040,baseline,766490.0623872235,173555.85355553046,28358.25840950521,595.9366397645813,794848.3207967287,174151.79019529495,0.21910065812396906
2041,baseline,866169.7908064167,189685.31067816052,29105.22341033983,587.4172376134675,895275.0142167564,190272.72791577395,0.21252992085592454
2042,baseline,981262.6825099285,208621.4873792067,29907.66193657717,579.7959219790254,1011170.3444465058,209201.2833011858,0.20689024796875183
2043,baseline,1114168.6046482907,230565.54922504464,30682.865342936628,571.6563971486039,1144851.4699912271,231137.20562219332,0.20189274476274593
2044,baseline,1261625.541881632,254538.96505277333,31488.55047777656,564.3673651751712,1293114.0923594087,255103.33241794852,0.19727828652187093
2045,baseline,1414282.8844574653,278596.6795609424,32266.93207872575,557.1760318945601,1446549.8165361912,279153.85559283715,0.1929790819518956
2046,baseline,1558089.6168661178,300311.2927979609,33078.955018484005,551.5093611856856,1591168.5718846018,300862.80215914676,0.1890829214925988
2047,baseline,1678714.8965110779,317407.8497389008,33913.44629967582,547.57632791878,1712628.342810754,317955.42606681975,0.18565348833652576
2048,baseline,1767482.6746036755,329031.2959449632,34766.072368456764,545.8829728059137,1802248.7469721325,329577.17891776917,0.18286997256703616
2049,baseline,1824143.436519216,335456.81365314376,35664.574951145085,547.7870088129486,1859808.0114703614,336004.6006619566,0.18066628307311777
2050,baseline,1856501.841004832,338315.68123569374,36548.930992383386,554.7040023636455,1893050.7719972152,338870.38523805747,0.17900755238621563
2010,high_collection,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,high_collection,0.011818761097603653,0.003832718638125669,0.0,0.0,0.011818761097603653,0.003832718638125669,0.324291066252518
2012,high_collection,0.1302289673780708,0.04192888546303989,0.0,0.0,0.1302289673780708,0.04192888546303989,0.3219628190809127
2013,high_collection,0.76073502703122,0.2447925407508856,0.0,0.0,0.76073502703122,0.24479254075088555,0.3217842376815383
2014,high_collection,3.384843003306967,1.0959883827289068,0.0,0.0,3.384843003306967,1.0959883827289074,0.3237929740487623
2015,high_collection,11.748890683584332,3.8326243677283762,84.44049014431633,2.7896494441197346,96.18938082790065,6.622273811848113,0.06884620479776765
2016,high_collection,33.53966638284606,11.0193298600516,353.0135354906922,11.875593550218253,386.5532018735383,22.894923410269858,0.059228389001315225
2017,high_collection,81.96898718515916,27.048220269663695,560.6372359427388,18.344391291343104,642.6062231278979,45.39261156100679,0.07063830060664118
2018,high_collection,176.93182079015838,58.47598038704592,716.2943141911351,23.063391788659732,893.2261349812935,81.53937217570562,0.09128637081069428
2019,high_collection,349.62241460526644,115.40198494797312,1193.5201684751821,38.4328293730057,1543.1425830804485,153.83481432097878,0.09968930674824034
2020,high_collection,645.0211788348669,211.89287775739518,1336.225189777384,40.67347377119488,1981.2463686122508,252.56635152859022,0.12747851833565677
2021,high_collection,1124.7505976668335,366.11874695381726,1740.2184583026665,55.86656943416977,2864.9690559695,421.98531638798687,0.14729140459954737
2022,high_collection,1889.7605867123198,605.9121036288913,3594.082036569889,122.23847788316532,5483.8426232822085,728.1505815120562,0.13278108646309783
2023,high_collection,3121.112743752107,978.1947225224436,5840.981478364899,192.19424133391496,8962.094222117006,1170.3889638563583,0.13059324470925854
2024,high_collection,5168.757084951465,1569.0883265881082,8112.633160700056,281.08285692697865,13281.390245651519,1850.1711835150873,0.1393055357379364
2025,high_collection,8859.997099826278,2577.210123624256,10502.384562227726,298.23942789627097,19362.381662054002,2875.4495515205263,0.1485070174582796
2026,high_collection,15268.64862920216,4222.1575111505,13793.102244079704,396.2346223753122,29061.750873281864,4618.392133525811,0.15891651379379773
2027,high_collection,25441.15093497635,6144.349494615024,15132.60205141193,451.3791273661153,40573.75298638828,6595.728621981137,0.162561462435922
2028,high_collection,40349.733626047026,9174.078206828717,18163.953186176153,515.3563976625837,58513.686812223175,9689.434604491295,0.16559261828067254
2029,high_collection,61781.91027752256,13327.558817802263,20871.851900809575,582.6790815508576,82653.76217833214,13910.237899353111,0.16829527819121717
2030,high_collection,91632.03333686558,16253.404711231118,21283.41694508304,605.1982626297045,112915.45028194861,16858.602973860812,0.1493028893013761
2031,high_collection,130011.10713227185,20993.375308574814,23500.904206412695,652.0787255819607,153512.01133868453,21645.454034156784,0.1410016965148199
2032,high_collection,174025.13895563743,25288.65799209421,23822.281750243437,656.0428637368492,197847.42070588088,25944.70085583107,0.1311348955840084
2033,high_collection,225881.6783651414,29372.225740601127,22698.33891652108,622.8634695208899,248580.01728166244,29995.08921012203,0.12066572984478888
2034,high_collection,288316.7550259849,33467.31442768824,23754.65305485881,623.4433864807326,312071.40808084374,34090.75781416897,0.1092402473645954
2035,high_collection,358389.7949348645,36183.90802266981,25108.638343247647,639.2920287849789,383498.4332781122,36823.20005145476,0.09601916684950486
2036,high_collection,433265.9200566268,38577.80475092693,25706.215750104835,631.4973337725269,458972.1358067316,39209.302084699455,0.08542850213724104
2037,high_collection,511878.70973654004,40435.285053700296,26332.71939867133,623.0668026368979,538211.4291352114,41058.35185633718,0.0762866591709303
2038,high_collection,593154.612672331,42062.64732033022,26951.926607345984,613.4620522115353,620106.539279677,42676.10937254175,0.068820608507233
2039,high_collection,677182.4406809907,44391.328375287136,27639.072669066627,604.6434695575821,704821.5133500574,44995.97184484467,0.06384023613436006
2040,high_collection,766490.0623872235,47112.30186833763,28358.25840950521,595.9366397645813,794848.3207967287,47708.238508102244,0.06002181455234269
2041,high_collection,866169.7908064167,50383.97624990126,29105.22341033983,587.4172376134675,895275.0142167564,50971.39348751471,0.05693378311479823
2042,high_collection,981262.6825099285,54424.682639515726,29907.66193657717,579.7959219790254,1011170.3444465058,55004.47856149475,0.054396847043218115
2043,high_collection,1114168.6046482907,59109.63985527356,30682.865342936628,571.6563971486039,1144851.4699912271,59681.29625242217,0.05213016519328879
2044,high_collection,1261625.541881632,64142.72536232272,31488.55047777656,564.3673651751712,1293114.0923594087,64707.09272749787,0.05003973981091929
2045,high_collection,1414282.8844574653,69135.31309591468,32266.93207872575,557.1760318945601,1446549.8165361912,69692.48912780925,0.04817842312177682
2046,high_collection,1558089.6168661178,73607.93938381821,33078.955018484005,551.5093611856856,1591168.5718846018,74159.44874500387,0.046606908944391984
2047,high_collection,1678714.8965110779,77334.28543982963,33913.44629967582,547.57632791878,1712628.342810754,77881.86176774841,0.0454750513120256
2048,high_collection,1767482.6746036755,80165.17300203492,34766.072368456764,545.8829728059137,1802248.7469721325,80711.05597484089,0.04478352730744825
2049,high_collection,1824143.436519216,82117.7768349339,35664.574951145085,547.7870088129486,1859808.0114703614,82665.56384374683,0.04444843948079972
2050,high_collection,1856501.841004832,83699.32071816149,36548.930992383386,554.7040023636455,1893050.7719972152,84254.0247205251,0.04450700740141007
2010,low_collection,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,low_collection,0.011818761097603653,0.007040787600696421,0.0,0.0,0.011818761097603653,0.007040787600696421,0.5957297505678489
2012,low_collection,0.1302289673780708,0.07694988170894221,0.0,0.0,0.1302289673780708,0.0769498817089422,0.5908814548574832
2013,low_collection,0.76073502703122,0.44692382148454163,0.0,0.0,0.76073502703122,0.4469238214845416,0.5874894747894922
2014,low_collection,3.384843003306967,1.9847063079587097,0.0,0.0,3.384843003306967,1.984706307958709,0.5863510673965278
2015,low_collection,11.748890683584332,6.88959810201353,84.44049014431633,2.7896494441197346,96.18938082790065,9.679247546133263,0.10062698670917845
2016,low_collection,33.53966638284606,19.719624566549676,353.0135354906922,11.875593550218253,386.5532018735383,31.595218116767935,0.08173575581222162
2017,low_collection,81.96898718515916,48.32770933452215,560.6372359427388,18.344391291343104,642.6062231278979,66.67210062586523,0.10375265322103094
2018,low_collection,176.93182079015838,104.56285875753211,716.2943141911351,23.063391788659732,893.2261349812935,127.62625054619178,0.1428823514538842
2019,low_collection,349.62241460526644,206.98607270000102,1193.5201684751821,38.4328293730057,1543.1425830804485,245.41890207300665,0.15903838359712497
2020,low_collection,645.0211788348669,382.145824490039,1336.225189777384,40.67347377119488,1981.2463686122508,422.8192982612339,0.21341076251783594
2021,low_collection,1124.7505976668335,665.3148406633011,1740.2184583026665,55.86656943416977,2864.9690559695,721.1814100974707,0.25172397886630027
2022,low_collection,1889.7605867123198,1112.2726114965435,3594.082036569889,122.23847788316532,5483.8426232822085,1234.5110893797084,0.22511789162921392
2023,low_collection,3121.112743752107,1820.4706003752742,5840.981478364899,192.19424133391496,8962.094222117006,2012.664841709189,0.2245752824983982
2024,low_collection,5168.757084951465,2975.7995653762728,8112.633160700056,281.08285692697865,13281.390245651519,3256.882422303253,0.24522149880880084
2025,low_collection,8859.997099826278,5014.0941332339125,10502.384562227726,298.23942789627097,19362.381662054002,5312.3335611301845,0.2743636425440981
2026,low_collection,15268.64862920216,8495.763538595396,13793.102244079704,396.2346223753122,29061.750873281864,8891.998160970705,0.3059691138273995
2027,low_collection,25441.15093497635,13708.909625396438,15132.60205141193,451.3791273661153,40573.75298638828,14160.28875276256,0.3490012067040746
2028,low_collection,40349.733626047026,21539.293562579995,18163.953186176153,515.3563976625837,58513.686812223175,22054.649960242576,0.3769143795539386
2029,low_collection,61781.91027752256,32863.31164883054,20871.851900809575,582.6790815508576,82653.76217833214,33445.99073038138,0.4046517647704767
2030,low_collection,91632.03333686558,47340.40436598033,21283.41694508304,605.1982626297045,112915.45028194861,47945.60262861002,0.4246150771120373
2031,low_collection,130011.10713227185,66580.00703332471,23500.904206412695,652.0787255819607,153512.01133868453,67232.08575890667,0.43795977378328055
2032,low_collection,174025.13895563743,88103.50129126156,23822.281750243437,656.0428637368492,197847.42070588088,88759.54415499838,0.4486262385343296
2033,low_collection,225881.6783651414,112905.32736810997,22698.33891652108,622.8634695208899,248580.01728166244,113528.19083763086,0.45670682655474154
2034,low_collection,288316.7550259849,142076.80909380264,23754.65305485881,623.4433864807326,312071.40808084374,142700.25248028344,0.4572679482489347
2035,low_collection,358389.7949348645,173357.74687025702,25108.638343247647,639.2920287849789,383498.4332781122,173997.03889904195,0.4537099080476808
2036,low_collection,433265.9200566268,205543.3311034136,25706.215750104835,631.4973337725269,458972.1358067316,206174.8284371862,0.44920990263340144
2037,low_collection,511878.70973654004,237889.14817905324,26332.71939867133,623.0668026368979,538211.4291352114,238512.21498169025,0.44315709788052526
2038,low_collection,593154.612672331,269944.772112006,26951.926607345984,613.4620522115353,620106.539279677,270558.23416421755,0.43630927433615063
2039,low_collection,677182.4406809907,301898.9774646153,27639.072669066627,604.6434695575821,704821.5133500574,302503.62093417277,0.429191809847511
2040,low_collection,766490.0623872235,335078.6239312984,28358.25840950521,595.9366397645813,794848.3207967287,335674.5605710629,0.4223127253192084
2041,low_collection,866169.7908064167,371814.5556203053,29105.22341033983,587.4172376134675,895275.0142167564,372401.9728579187,0.41596377308007376
2042,low_collection,981262.6825099285,413922.2238920506,29907.66193657717,579.7959219790254,1011170.3444465058,414502.0198140296,0.40992303827988513
2043,low_collection,1114168.6046482907,462168.1389514428,30682.865342936628,571.6563971486039,1144851.4699912271,462739.7953485912,0.4041919912564178
2044,low_collection,1261625.541881632,514676.5384078305,31488.55047777656,564.3673651751712,1293114.0923594087,515240.905773006,0.39844968732256275
2045,low_collection,1414282.8844574653,567457.3865309933,32266.93207872575,557.1760318945601,1446549.8165361912,568014.5625628877,0.39266851101126704
2046,low_collection,1558089.6168661178,615053.1483895098,33078.955018484005,551.5093611856856,1591168.5718846018,615604.6577506954,0.38688839675959963
2047,low_collection,1678714.8965110779,652483.3122644682,33913.44629967582,547.57632791878,1712628.342810754,653030.888592387,0.3813033290810995
2048,low_collection,1767482.6746036755,677352.7181034532,34766.072368456764,545.8829728059137,1802248.7469721325,677898.601076259,0.37614042024729516
2049,low_collection,1824143.436519216,690236.5227172612,35664.574951145085,547.7870088129486,1859808.0114703614,690784.309726074,0.3714277524699665
2050,low_collection,1856501.841004832,694819.3601834162,36548.930992383386,554.7040023636455,1893050.7719972152,695374.06418578,0.3673298542606669
