iso3,country,continent,lat,lon,country_clean,region_group,scrap_t,capacity
BRN,Brunei Darussalam,Asia,4.933333,114.9667,Brunei Darussalam,Asia,126.3095358655052,0.0
BWA,Botswana,Africa,-24.75,25.91667,Botswana,Africa,2938.601838944922,0.0
CAN,Canada,America,43.65,-79.38,Canada,America,1546298.2255607217,332.2070571525618
CHE,Switzerland,Europe,46.95,7.433333,Switzerland,Europe,35308.18768999411,222.30397057577449
CHL,Chile,America,-33.5,-70.66666,Chile,America,148626.74095931443,0.0
CHN,China,Asia,39.91667,116.4333,China,Asia,20392059.08110497,22722.46314975079
CIV,C?te d'Ivoire,Africa,6.82,-5.28,C?te d'Ivoire,Africa,5500.8245860926045,0.0
CMR,Cameroon,Africa,3.85,11.51667,Cameroon,Africa,1.710124771876564,0.0
COG,Congo,Africa,-4.233333,15.23333,Congo,Africa,4.614695313982875,0.0
COL,Colombia,America,4.633333,-75.06667,Colombia,America,67406.90873643316,0.0
COM,Comoros,Africa,-11.66667,43.26667,Comoros,Africa,2211.6591966010906,0.0
CPV,Cabo Verde,Africa,14.916670000000002,-23.5,Cabo Verde,Africa,848.4638141457785,0.0
CRI,Costa Rica,America,9.983334,-84.06667,Costa Rica,America,19906.62637610387,0.0
CYM,Cayman Isds,America,19.3,-81.38333,Cayman Isds,America,0.0299335522310538,0.0
CYP,Cyprus,Europe,35.15,33.35,Cyprus,Europe,6298.806792324112,0.0
CZE,Czechia,Europe,50.1,14.433329999999998,Czech Republic,Europe,244041.97615316,2.497797422199713
DEU,Germany,Europe,52.533,13.417,Germany,Europe,429124.7337982061,497.0616870177428
DNK,Denmark,Europe,55.66667,12.58333,Denmark,Europe,25822.071662732436,0.0
DOM,Dominican Rep.,America,18.5,-69.78333,Dominican Rep.,America,83261.94944375349,0.0
DZA,Algeria,Africa,36.83333,3.0,Algeria,Africa,7317.126720589514,0.0
ECU,Ecuador,America,-0.2333333,-78.5,Ecuador,America,72273.2288139459,0.0
EGY,Egypt,Africa,30.05,31.25,Egypt,Africa,2181005.1394578954,0.0
ESP,Spain,Europe,40.41667,-3.716667,Spain,Europe,184280.39665882871,319.7180700415633
EST,Estonia,Europe,59.41667,24.75,Estonia,Europe,5450.964406401257,0.0
ETH,Ethiopia,Africa,9.05,38.83333,Ethiopia,Africa,21852.462544614984,0.0
FIN,Finland,Europe,60.13334,25.0,Finland,Europe,124714.20471864748,17.48458195539799
FJI,Fiji,Pacific,-18.13333,178.4167,Fiji,Other,6.575160890344479,0.0
FRA,France,Europe,48.86666,2.333333,France,Europe,295099.9532997213,252.27753964217095
GBR,United Kingdom,Europe,51.5,-0.1666667,United Kingdom,Europe,300532.1836255444,437.1145488849497
GEO,Georgia,Asia,41.71667,44.81667,Georgia,Asia,2053.8430408666704,0.0
GHA,Ghana,Africa,5.55,-0.25,Ghana,Africa,26.11134401377678,0.0
GIN,Guinea,Africa,9.516666,-15.71667,Guinea,Africa,13.402768017779396,0.0
GRC,Greece,Europe,38.0,23.73333,Greece,Europe,37096.6106708006,0.0
GRD,Grenada,America,12.06667,-61.73333,Grenada,America,951.3936788337464,0.0
GRL,Greenland,America,64.18333,-51.73333,Greenland,America,8.254272348840898,0.0
GTM,Guatemala,America,14.63333,-90.51667,Guatemala,America,126060.20359705608,0.0
GUY,Guyana,America,6.766667,-58.16667,Guyana,America,6435.689029818873,0.0
HND,Honduras,America,14.083329999999998,-87.23333000000001,Honduras,America,13123.78664061646,0.0
HRV,Croatia,Europe,45.8,15.96667,Croatia,Europe,81343.76630113064,0.0
HUN,Hungary,Europe,47.5,19.05,Hungary,Europe,106149.75027663977,337.20265199696127
IDN,Indonesia,Asia,-6.133333,106.75,Indonesia,Asia,292017.0769049892,0.0
IND,India,Asia,28.616670000000003,77.21667,India,Asia,48399951.04219032,1533.6476172306236
IRL,Ireland,Europe,53.33333,-6.25,Ireland,Europe,25275.170203004447,0.0
IRN,Iran,Asia,35.66667,51.43333,Iran,Asia,72.84425610023905,0.0
ISL,Iceland,Europe,64.15,-21.96667,Iceland,Europe,1576.599415106024,0.0
ISR,Israel,Asia,32.08333,34.76667,Israel,Asia,49333.26392066735,0.0
ITA,Italy,Europe,41.88334,12.5,Italy,Europe,226830.12897212157,274.7577164419684
JAM,Jamaica,America,17.96667,-76.8,Jamaica,America,7.555290922164561,0.0
JOR,Jordan,Asia,31.95,35.93333,Jordan,Asia,110598.923531481,0.0
JPN,Japan,Asia,35.66667,139.75,Japan,Asia,294421.9257439851,909.1982616806954
KAZ,Kazakhstan,Asia,51.17,71.47,Kazakhstan,Asia,31480.541109137022,0.0
KEN,Kenya,Africa,-1.283333,36.83333,Kenya,Africa,1826734.149522416,0.0
KGZ,Kyrgyzstan,Asia,42.9,74.6,Kyrgyzstan,Asia,3.618712450152038,0.0
KHM,Cambodia,Asia,11.58333,104.9167,Cambodia,Asia,172846.0201653854,0.0
KIR,Kiribati,Pacific,1.383333,173.15,Kiribati,Other,31.458469230143795,0.0
KOR,Korea,Asia,37.5,127.0,Republic of Korea,Asia,202403.118447328,5147.960487153608
KWT,Kuwait,Asia,29.33333,48.0,Kuwait,Asia,16.95621261645777,0.0
LAO,Lao People's Dem. Rep.,Asia,17.98333,102.6333,Lao People's Dem. Rep.,Asia,207597.51188835275,0.0
LBN,Lebanon,Asia,33.86666,35.5,Lebanon,Asia,109022.46647013484,0.0
LCA,Saint Lucia,America,14.01667,-60.98333,Saint Lucia,America,634.4571764458815,0.0
LKA,Sri Lanka,Asia,6.916667,79.86667,Sri Lanka,Asia,514061.365764616,0.0
LSO,Lesotho,Africa,-29.31667,27.48333,Lesotho,Africa,40474.46003685624,0.0
LTU,Lithuania,Europe,54.683330000000005,25.31667,Lithuania,Europe,10278.053983892843,0.0
LUX,Luxembourg,Europe,49.6,6.15,Luxembourg,Europe,3404.411795948211,0.0
LVA,Latvia,Europe,56.95,24.1,Latvia,Europe,6753.814927434405,0.0
MAR,Morocco,Africa,34.03333,-6.85,Morocco,Africa,373887.31275047775,0.0
MDA,Rep. of Moldova,Europe,47.0,28.83333,Rep. of Moldova,Europe,32206.577278472767,0.0
MDG,Madagascar,Africa,-18.866670000000003,47.5,Madagascar,Africa,150494.7283903719,0.0
MDV,Maldives,Asia,4.166667,73.46667,Maldives,Asia,5452.522593797543,0.0
MEX,Mexico,America,19.41667,-99.16666,Mexico,America,992486.44807709,0.0
MKD,North Macedonia,Europe,42.0,21.46667,North Macedonia,Europe,6127.913833785085,0.0
MLI,Mali,Africa,12.66667,-7.983333,Mali,Africa,27508.36816816115,0.0
MLT,Malta,Europe,35.9,14.53333,Malta,Europe,2402.607918625769,0.0
MNG,Mongolia,Asia,47.9,106.8667,Mongolia,Asia,30880.47684482857,0.0
MOZ,Mozambique,Africa,-25.96667,32.58333,Mozambique,Africa,1.0351089902242312,0.0
MRT,Mauritania,Africa,18.15,-15.96667,Mauritania,Africa,0.1384056302220634,0.0
MUS,Mauritius,Africa,-20.16667,57.5,Mauritius,Africa,24202.18496786448,0.0
MWI,Malawi,Africa,-13.96667,33.81667,Malawi,Africa,218153.85796537524,0.0
MYS,Malaysia,Asia,3.1333330000000004,101.7,Malaysia,Asia,218.4414327421576,0.0
NAM,Namibia,Africa,-22.56667,17.1,Namibia,Africa,59699.7555802337,0.0
NCL,New Caledonia,Pacific,-22.26667,166.45,New Caledonia,Other,0.1481625518745755,0.0
NER,Niger,Africa,13.53333,2.083333,Niger,Africa,188448.4348131118,0.0
NGA,Nigeria,Africa,6.45,3.466667,Nigeria,Africa,8126288.726599782,0.0
