country,Potential secondary Li,After capture,Open-access recovered,Policy-accessible recovered
India,707.1029714201081,698.6722465145642,647.4924188860844,647.4924188860844
China,379.04381733488174,374.56865125631407,330.4201320399306,330.42013203993065
United States,164.5824825524796,164.44683698190144,146.42280931347085,146.42280931347082
Pakistan,118.74095315172956,102.4021979980516,95.01899952239206,95.01899952239206
Nigeria,118.71601743193156,102.3806934332978,94.99904543675702,94.99904543675702
Philippines,49.03908767637682,42.29130921210738,39.242105817914435,39.242105817914435
Egypt,31.862053151012354,27.47783463743305,25.496682760074126,25.496682760074126
Uganda,26.91612199268097,23.212463606488072,21.53884498046028,21.53884498046028
Other,297.04726728601446,273.34451363653255,244.29385400110888,244.2938540011089
