country,Potential by source,Captured by source,Open-access by destination,strict_policy by destination
India,707.1029714201081,698.6722465145642,299.78080752249735,299.78080752249735
China,379.04381733488174,374.56865125631407,1087.6276889602743,330.42013203993065
United States,164.5824825524796,164.44683698190144,146.42280931347085,146.42280931347082
Republic of Korea,2.9766096475396027,2.9713850999022826,19.088893922250598,604.4870666618132
European Union,43.56466785977256,42.885765177571535,21.52745193742413,38.99725084762008
Other,595.7802231824335,525.2518622464365,70.47724110227546,224.81682637286045
