Year,country,quantity_scrap,quantity_cap,quantity_prod
2023,China,7.531860005821821,248.4,0.6111250627825212
2033,China,765.8934087975517,909.7,0.342287005505872
2023,Norway,0.4551725442812691,2.9,0.0
2033,Norway,1.5344118434689096,19.9,0.021896184080710358
2023,Switzerland,0.08633820363494488,0.9,0.0008789552988448013
2033,Switzerland,2.931994818094777,8.9,0.0002227809426816461
2023,Finland,0.054258838753731296,0.7,0.0
2033,Finland,1.6817092618405194,0.7,0.03246236593361129
2023,Belgium,0.16715382954321295,0.8,0.0007533902561526869
2033,Belgium,4.4806352803497465,0.9,0.0005728652811813757
2023,Netherlands,0.4068394677728455,1.4,0.0007533902561526869
2033,Netherlands,6.15290528999194,3.4,0.0001909550937271252
2023,Czechia,0.0038372905637706367,0.0,0.0007533902561526869
2033,Czechia,5.6594175684679655,0.0,0.0028643264059068784
2023,Australia,0.02762208644277447,0.5,0.0007533902561526869
2033,Australia,4.822896543927098,1.3,0.0013366856560898767
2023,Brazil,0.009683624595559777,0.0,0.0001255650426921145
2033,Brazil,130.59278755053043,1.0,3.182584895452087e-05
2023,Canada,0.1942070667554918,0.5,0.0016323455549974884
2033,Canada,24.45016770643177,13.3,0.030902899334839765
2023,USA,2.83058177031278,7.6,0.11577096936212956
2033,USA,134.939787368566,73.8,0.16963177492759623
2023,Turkey,0.17968084324783135,0.0,0.007533902561526869
2033,Turkey,3.5233134088106084,1.0,0.014767193914897683
2023,Serbia,0.005420672532380093,0.0,0.0
2033,Serbia,0.07374382696160238,0.0,0.004201012061996755
2023,Russian Federation,0.126654882260596,3.0,0.0
2033,Russian Federation,1.9740351732939003,5.9,0.0034371916870882544
2023,United Kingdom,0.4837876662235148,1.1,0.003390256152687091
2033,United Kingdom,22.10051722027185,17.5,0.018045256357213334
2023,India,0.016712671920162746,3.5,0.012556504269211448
2033,India,11.48505039878368,61.4,0.012730339581808348
2023,Sweden,0.3157130497668577,1.0,0.016574585635359112
2033,Sweden,3.5195230199953023,23.5,0.026160847840616158
2023,Spain,0.13991710990469072,0.8,0.0037669512807634344
2033,Spain,18.812369468698467,12.8,0.01572196938353331
2023,Slovakia,0.0038437241239074843,0.0,0.0037669512807634344
2033,Slovakia,1.8929753477829332,0.0,0.0019095509372712522
2023,Poland,0.023644973463807083,3.0,0.037669512807634344
2033,Poland,16.472854990373516,8.0,0.021959835778619402
2023,Italy,0.16117746880859732,4.4,0.000251130085384229
2033,Italy,24.995546683260798,11.0,0.0321759332930206
2023,Hungary,0.001042962917773529,3.5,0.04131089904570567
2033,Hungary,1.3667695078252264,13.5,0.06390630470067792
2023,Germany,1.0159039953445477,8.1,0.05700652938221997
2033,Germany,28.851519401674338,19.9,0.12316603545399578
2023,France,0.6587454240045305,0.9,0.006529382219989954
2033,France,25.583250466479665,10.1,0.029407084433977288
2023,Viet Nam,0.7573100580765111,0.3,0.0030135610246107476
2033,Viet Nam,5.936830898941178,0.6,0.0009547754686356261
2023,Thailand,0.12956751595019467,3.0,0.003515821195379205
2033,Thailand,2.1311774612724617,5.9,0.0014321632029534392
2023,Korea,0.19036794217307665,10.6,0.037418382722250114
2033,Korea,15.102122838764323,206.1,0.00948410298844722
2023,Japan,0.2730357491783413,2.5,0.033149171270718224
2033,Japan,3.442612497850269,36.4,0.01393972184208014
2023,Romania,0.0016737877271590256,0.0,0.0
2033,Romania,3.2991573020621336,0.0,0.004201012061996755
