source_point,dest_point,quantity
Algeria,Hungary,853.0
Croatia,Hungary,7411.0
Italy,Hungary,113068.0
Angola,India,140.0
United Arab Emirates,India,413.0
Armenia,India,4.0
Azerbaijan,India,1143.0
Burundi,India,344.0
Benin,India,2.0
Burkina Faso,India,1052.0
Bahrain,India,3.0
Botswana,India,503.0
C?te d'Ivoire,India,328.0
Cameroon,India,2.0
Congo,India,4.0
Comoros,India,4.0
Cyprus,India,2011.0
Egypt,India,8509.0
Ethiopia,India,897.0
Georgia,India,98.0
Ghana,India,28.0
Guinea,India,6.0
Greece,India,48776.0
Iran,India,97.0
Israel,India,36742.0
Jordan,India,1977.0
Kenya,India,15136.0
Kuwait,India,16.0
Lebanon,India,10860.0
Sri Lanka,India,69473.0
Lesotho,India,223.0
Madagascar,India,532.0
Maldives,India,146.0
Mali,India,133.0
Malta,India,968.0
Mozambique,India,154.0
Mauritius,India,774.0
Malawi,India,2089.0
Namibia,India,850.0
Niger,India,505.0
Nigeria,India,52039.0
Oman,India,848.0
Pakistan,India,40656.0
State of Palestine,India,40.0
Qatar,India,16.0
Rwanda,India,8.0
Saudi Arabia,India,12685.0
Sudan,India,9.0
Senegal,India,5292.0
Seychelles,India,115.0
Togo,India,456.0
Tajikistan,India,114.0
United Rep. of Tanzania,India,3632.0
Uganda,India,25655.0
Yemen,India,974.0
South Africa,India,350.0
Zambia,India,241.0
Zimbabwe,India,17.0
Eswatini,India,21.0
Brazil,India,125806.0
Turkey,India,25233.0
Aruba,Japan,3.0
Bolivia (Plurinational State of),Japan,2323.0
Chile,Japan,1683.0
Colombia,Japan,4377.0
Costa Rica,Japan,1314.0
Dominican Rep.,Japan,2232.0
Ecuador,Japan,1513.0
Fiji,Japan,6.0
Guatemala,Japan,4028.0
Honduras,Japan,489.0
Jamaica,Japan,7.0
Kiribati,Japan,3.0
Mexico,Japan,45256.0
Nicaragua,Japan,1306.0
New Zealand,Japan,12742.0
Panama,Japan,13.0
Peru,Japan,5706.0
Solomon Isds,Japan,3.0
El Salvador,Japan,14.0
Samoa,Japan,3.0
Australia,Japan,35228.0
USA,Japan,210820.0
Albania,Korea,2114.0
Bangladesh,Korea,3.0
Bulgaria,Korea,9241.0
Belarus,Korea,3444.0
Bermuda,Korea,2.0
Brunei Darussalam,Korea,30.0
Denmark,Korea,19805.0
Estonia,Korea,2243.0
Grenada,Korea,87.0
Greenland,Korea,1.0
Guyana,Korea,2328.0
Indonesia,Korea,50449.0
Iceland,Korea,1046.0
Kazakhstan,Korea,2961.0
Kyrgyzstan,Korea,3.0
Cambodia,Korea,1401.0
Lao People's Dem. Rep.,Korea,8831.0
Saint Lucia,Korea,24.0
Lithuania,Korea,4366.0
Luxembourg,Korea,2322.0
Latvia,Korea,2703.0
Rep. of Moldova,Korea,473.0
North Macedonia,Korea,257.0
Mongolia,Korea,407.0
Nepal,Korea,435.0
Philippines,Korea,210713.0
Palau,Korea,3.0
Trinidad and Tobago,Korea,859.0
Tunisia,Korea,238.0
Ukraine,Korea,139.0
Uzbekistan,Korea,1724.0
Myanmar,Korea,5461.0
USA,Korea,452299.0
Brazil,Korea,220873.0
Canada,Korea,111501.0
Czechia,Korea,55594.0
Finland,Korea,9817.0
France,Korea,18363.0
Germany,Korea,89515.0
Italy,Korea,26887.0
Poland,Korea,84728.0
Romania,Korea,31991.0
Slovakia,Korea,17708.0
Spain,Korea,2644.0
USA,Korea,400577.0
Viet Nam,Korea,53368.0
Cabo Verde,Norway,10.0
Ireland,Norway,16236.0
Portugal,Norway,40176.0
Brazil,Norway,81228.0
United Kingdom,Norway,46005.0
Austria,Russian Federation,35197.0
Slovenia,Russian Federation,3841.0
Slovakia,Russian Federation,221.0
Bosnia Herzegovina,Serbia,249.0
Tunisia,Serbia,13.0
Belgium,Sweden,35806.0
France,Sweden,136469.0
Netherlands,Sweden,27529.0
Andorra,Switzerland,6.0
Morocco,Switzerland,2195.0
Spain,Switzerland,57479.0
Sri Lanka,Thailand,37641.0
Malaysia,Thailand,47.0
