,country,type,recycling_m,net_profit
6,Afghanistan,LFP,Hydro,0.0
11,Afghanistan,NCA,Hydro,-124699.53528120818
7,Afghanistan,NMC111,Hydro,-444728.18196579407
10,Afghanistan,NMC523,Hydro,-364278.05279231694
8,Afghanistan,NMC622,Hydro,-698457.6091184083
9,Afghanistan,NMC811,Hydro,0.0
18,Albania,LFP,Hydro,-322.4912304871897
23,Albania,NCA,Hydro,0.7048196028689464
19,Albania,NMC111,Hydro,-3.099951426052794
22,Albania,NMC523,Hydro,-2.856780649800006
20,Albania,NMC622,Hydro,-8.438284226059778
21,Albania,NMC811,Hydro,-14.59119848416817
264,Algeria,LFP,Hydro,0.0
269,Algeria,NCA,Hydro,-18.72075467885149
265,Algeria,NMC111,Hydro,-60.00812132878289
268,Algeria,NMC523,Hydro,-53.52573380420331
266,Algeria,NMC622,Hydro,-92.65984080806189
267,Algeria,NMC811,Hydro,-111.30699422620735
24,Andorra,LFP,Hydro,0.0
29,Andorra,NCA,Hydro,-663.4276401001042
25,Andorra,NMC111,Hydro,-1568.0980994611284
28,Andorra,NMC523,Hydro,-1429.6413160798086
26,Andorra,NMC622,Hydro,-2289.2725702489333
27,Andorra,NMC811,Hydro,-2686.093376525914
12,Angola,LFP,Hydro,0.0
17,Angola,NCA,Hydro,-57.60448197134025
13,Angola,NMC111,Hydro,-161.64736549059324
16,Angola,NMC523,Hydro,-141.01037931309824
14,Angola,NMC622,Hydro,-235.40635965140922
15,Angola,NMC811,Hydro,-279.6949904718201
36,Argentina,LFP,Hydro,0.0
41,Argentina,NCA,Hydro,-0.15176307544607368
37,Argentina,NMC111,Hydro,-14.200529990650043
40,Argentina,NMC523,Hydro,-12.013864285887292
38,Argentina,NMC622,Hydro,-24.344135487324362
39,Argentina,NMC811,Hydro,-30.430400152808865
42,Armenia,LFP,Hydro,0.0
47,Armenia,NCA,Hydro,-1182.3062266802303
43,Armenia,NMC111,Hydro,-2101.4575937889854
46,Armenia,NMC523,Hydro,-2465.58040800533
44,Armenia,NMC622,Hydro,-4385.009674292347
45,Armenia,NMC811,Hydro,-7315.404553920158
0,Aruba,LFP,Hydro,0.0
5,Aruba,NCA,Hydro,-2282.1606534602042
1,Aruba,NMC111,Hydro,-3384.7674794934824
4,Aruba,NMC523,Hydro,-4430.548699451294
2,Aruba,NMC622,Hydro,-8912.420515678554
3,Aruba,NMC811,Hydro,-14582.282859457402
48,Australia,LFP,Hydro,0.0
53,Australia,NCA,Hydro,9.368064629322784
49,Australia,NMC111,Hydro,10.46553977124204
52,Australia,NMC523,Hydro,9.562696074340938
50,Australia,NMC622,Hydro,11.259302901007604
51,Australia,NMC811,Hydro,11.59866817443161
54,Austria,LFP,Hydro,-181.77127901961367
59,Austria,NCA,Hydro,3.986779658357127
55,Austria,NMC111,Hydro,1.747042179426962
58,Austria,NMC523,Hydro,1.611118360252687
56,Austria,NMC622,Hydro,-1.2213580302971687
57,Austria,NMC811,Hydro,-4.645421603571195
60,Azerbaijan,LFP,Hydro,0.0
65,Azerbaijan,NCA,Hydro,-8.283547302486472
61,Azerbaijan,NMC111,Hydro,-33.45277002257103
64,Azerbaijan,NMC523,Hydro,-28.53858092713741
62,Azerbaijan,NMC622,Hydro,-49.54677585762024
63,Azerbaijan,NMC811,Hydro,-59.205228579516465
108,Bahamas,LFP,Hydro,0.0
113,Bahamas,NCA,Hydro,-47218.711333632855
109,Bahamas,NMC111,Hydro,0.0
112,Bahamas,NMC523,Hydro,0.0
110,Bahamas,NMC622,Hydro,0.0
