From Region,To Region,Amount Transported,Remaining Storage
Australia,China,2.325999999999855,0.04758091187407609
Australia,Korea,1.8539999999999066,176.91849677413265
Belgium,Japan,4.190999999999734,23.953940343351253
Brazil,China,2.4489999999998413,0.022580911874134357
Brazil,Sweden,18.111999999999153,0.0005420227317619606
Canada,China,2.379999999999849,0.01758091187414601
Canada,Japan,12.10399999999873,1.5749403433371696
Czechia,China,2.425999999999844,0.009580911874164655
Czechia,Hungary,3.956999999999675,0.0008528320179687085
Czechia,Japan,0.048000000000000036,19.500940343353722
Finland,China,1.2109999999999774,18.842580911871043
France,China,2.443999999999842,0.0005809118741856309
France,Korea,16.526999999997216,127.51049677418389
Germany,China,2.416999999999845,0.0015809118741833003
Germany,Hungary,3.996999999999671,0.005852832017965937
Germany,Korea,6.471000000000496,141.42049677415147
Italy,China,2.3539999999998518,0.012580911874157663
Italy,Hungary,3.9919999999996714,0.0018528320179681543
Italy,Japan,9.4540000000002,0.0009403433369760137
Italy,Korea,1.6039999999999341,130.2024967741776
Netherlands,China,2.3559999999998515,0.021580911874136688
Netherlands,Korea,1.2349999999999748,180.21449677413082
Poland,China,2.434999999999843,0.005580911874173978
Poland,Korea,8.284000000000848,147.53749677413722
Romania,China,2.360999999999851,0.0025809118741809698
Romania,Sweden,1.387999999999958,16.810542022732793
Serbia,China,0.08300000000000006,37.95358091187319
Slovakia,China,2.150999999999874,3.2555809118665997
Spain,China,2.4649999999998395,0.013580911874155333
Spain,Japan,6.112000000000376,13.34894034335156
Turkey,China,2.424999999999844,0.029580911874118043
Turkey,Japan,0.5780000000000004,27.986940343352128
USA,China,2.352999999999852,0.003580911874178639
USA,Korea,18.546999999999684,125.38649677418884
United Kingdom,China,2.3459999999998526,0.010580911874162324
United Kingdom,Korea,5.268000000000094,159.90849677411893
Viet Nam,China,2.3839999999998485,0.04658091187407842
Viet Nam,Korea,3.7619999999996967,167.17549677412782
