year,policy_scenario,destination_iso3,Hydro,Direct,Pyro,destination_recovered_lithium_t,destination_scrap_t,dominant_technology,direct_capable_observed,hydro_dominated_observed,reference_destination_recovered_lithium_t,reference_destination_scrap_t,reference_dominant_technology,reference_direct_share_pct,reference_hydro_share_pct,reference_pyro_share_pct,destination_recovered_li_delta_vs_reference_t,destination_scrap_delta_vs_reference_t,shift_from_reference_direct_capable_to_current_hydro_dominated
2030,current_policy,VNM,100.0,0.0,0.0,110.2625,5000.0,Hydro,False,True,137.71072472155964,5000.0,Hydro,0.0,100.0,0.0,-27.44822472155964,0.0,False
2030,current_policy,YUG,100.0,0.0,0.0,4.153942827247618,322.0265151822132,Hydro,False,True,4.153942827247618,322.0265151822132,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,AUS,100.0,0.0,0.0,61.35681957939812,11000.0,Hydro,False,True,61.35681957939812,11000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,BEL,0.0,0.0,0.0,0.0,9000.0,Direct,False,False,0.0,9000.0,Direct,0.0,0.0,0.0,0.0,0.0,False
2030,reference_policy,BRA,100.0,0.0,0.0,297.08316708469704,10000.0,Hydro,False,True,297.08316708469704,10000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,CAN,100.0,0.0,0.0,1041.5591249780339,80824.34208789561,Hydro,False,True,1041.5591249780339,80824.34208789561,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,CHE,100.0,0.0,0.0,269.64575898247386,20923.953559190428,Hydro,False,True,269.64575898247386,20923.953559190428,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,CHN,100.0,0.0,0.0,33319.5683157446,2105944.679767106,Hydro,False,True,33319.5683157446,2105944.679767106,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,CZE,100.0,0.0,0.0,23.655282743162555,1000.0,Hydro,False,True,23.655282743162555,1000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,DEU,100.0,0.0,0.0,2477.1418930960645,185000.0,Hydro,False,True,2477.1418930960645,185000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,ESP,100.0,0.0,0.0,1137.1462358222727,91999.99999999999,Hydro,False,True,1137.1462358222727,91999.99999999999,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,FIN,100.0,0.0,0.0,104.00872926303921,7000.000000000001,Hydro,False,True,104.00872926303921,7000.000000000001,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,FRA,100.0,0.0,0.0,2422.5646954307963,89000.0,Hydro,False,True,2422.5646954307963,89000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,GBR,100.0,0.0,0.0,1302.234777269201,127000.0,Hydro,False,True,1302.234777269201,127000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,HUN,100.0,0.0,0.0,37.411274749114654,2734.2804273124434,Hydro,False,True,37.411274749114654,2734.2804273124434,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,IND,100.0,0.0,0.0,3704.8578210575547,259999.99999999997,Hydro,False,True,3704.8578210575547,259999.99999999997,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,ITA,100.0,0.0,0.0,2523.408229726687,89999.99999999999,Hydro,False,True,2523.408229726687,89999.99999999999,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,JPN,100.0,0.0,0.0,215.0571548948649,16683.113817897683,Hydro,False,True,215.0571548948649,16683.113817897683,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,KOR,100.0,0.0,0.0,6768.373270699577,644011.8020664377,Hydro,False,True,6768.373270699577,644011.8020664377,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,NLD,100.0,0.0,0.0,605.0224316273309,28000.0,Hydro,False,True,605.0224316273309,28000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,NOR,100.0,0.0,0.0,187.86808136517973,14563.628634489778,Hydro,False,True,187.86808136517973,14563.628634489778,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,POL,100.0,0.0,0.0,937.7771043525595,71000.0,Hydro,False,True,937.7771043525595,71000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,ROM,0.0,0.0,0.0,0.0,1000.0,Direct,False,False,0.0,1000.0,Direct,0.0,0.0,0.0,0.0,0.0,False
2030,reference_policy,RUS,100.0,0.0,0.0,1249.987835329079,48000.000000000015,Hydro,False,True,1249.987835329079,48000.000000000015,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,SVK,100.0,0.0,0.0,6.13428633063151,1000.0,Hydro,False,True,6.13428633063151,1000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,SWE,100.0,0.0,0.0,489.1338298357176,35733.22133192575,Hydro,False,True,489.1338298357176,35733.22133192575,Hydro,0.0,100.0,0.0,0.0,0.0,False
