year,policy_scenario,destination_iso3,technology,scrap_t,recovered_lithium_t,route_count,destination_recovered_lithium_t,destination_scrap_t,technology_share_pct
2030,current_policy,AUS,Hydro,11000.0,62.558014169243314,1,62.558014169243314,11000.0,100.0
2030,current_policy,BEL,Hydro,9000.0,200.80288141151257,1,200.80288141151257,9000.0,100.0
2030,current_policy,BRA,Hydro,10000.0,242.5775,1,242.5775,10000.0,100.0
2030,current_policy,CAN,Hydro,80824.34208789561,1041.5591249780339,1,1041.5591249780339,80824.34208789561,100.0
2030,current_policy,CHE,Hydro,20923.953559190428,269.64575898247386,1,269.64575898247386,20923.953559190428,100.0
2030,current_policy,CHN,Hydro,2105944.679767106,32286.181515151173,53,32286.181515151173,2105944.679767106,100.0
2030,current_policy,CZE,Hydro,1000.0,30.8735,1,30.8735,1000.0,100.0
2030,current_policy,DEU,Hydro,185000.00000000003,1773.0422937023347,1,1773.0422937023347,185000.00000000003,100.0
2030,current_policy,ESP,Hydro,92000.0,1365.8048994005521,1,1365.8048994005521,92000.0,100.0
2030,current_policy,FIN,Hydro,7000.0,47.0010691896335,1,47.0010691896335,7000.0,100.0
2030,current_policy,FRA,Hydro,89000.0,0.0,1,0.0,89000.0,
2030,current_policy,GBR,Hydro,127000.0,1892.4740654889915,1,1892.4740654889915,127000.0,100.0
2030,current_policy,HUN,Hydro,2734.2804273124434,37.411274749114654,1,37.411274749114654,2734.2804273124434,100.0
2030,current_policy,IND,Hydro,259999.99999999988,5935.71681315189,41,5935.71681315189,259999.99999999988,100.0
2030,current_policy,ITA,Hydro,90000.0,824.0438986011947,1,824.0438986011947,90000.0,100.0
2030,current_policy,JPN,Hydro,16683.11381789768,215.05715489486488,1,215.05715489486488,16683.11381789768,100.0
2030,current_policy,KOR,Hydro,644011.8020664377,10747.436305363895,23,10747.436305363895,644011.8020664377,100.0
2030,current_policy,NLD,Hydro,28000.0,604.4714368192326,1,604.4714368192326,28000.0,100.0
2030,current_policy,NOR,Hydro,14563.628634489778,187.86808136517973,1,187.86808136517973,14563.628634489778,100.0
2030,current_policy,POL,Hydro,71000.0,998.3125324316597,1,998.3125324316597,71000.0,100.0
2030,current_policy,ROM,Hydro,1000.0,0.0,1,0.0,1000.0,
2030,current_policy,RUS,Hydro,48000.000000000015,168.98144683960206,11,168.98144683960206,48000.000000000015,100.0
2030,current_policy,SVK,Hydro,1000.0,31.886808704814847,1,31.886808704814847,1000.0,100.0
2030,current_policy,SWE,Hydro,35733.22133192576,489.13382983571756,1,489.13382983571756,35733.22133192576,100.0
2030,current_policy,THA,Hydro,47999.99999999999,543.5010554969111,25,543.5010554969111,47999.99999999999,100.0
2030,current_policy,TUR,Hydro,10000.0,35.98289297473923,1,35.98289297473923,10000.0,100.0
2030,current_policy,USA,Hydro,539000.0,6344.43447194625,1,6344.43447194625,539000.0,100.0
2030,current_policy,VNM,Hydro,5000.0,110.2625,1,110.2625,5000.0,100.0
2030,current_policy,YUG,Hydro,322.0265151822132,4.153942827247618,1,4.153942827247618,322.0265151822132,100.0
2030,reference_policy,AUS,Hydro,11000.0,61.35681957939812,1,61.35681957939812,11000.0,100.0
2030,reference_policy,BEL,Hydro,9000.0,0.0,1,0.0,9000.0,
2030,reference_policy,BRA,Hydro,10000.0,297.08316708469704,1,297.08316708469704,10000.0,100.0
2030,reference_policy,CAN,Hydro,80824.34208789561,1041.5591249780339,1,1041.5591249780339,80824.34208789561,100.0
2030,reference_policy,CHE,Hydro,20923.953559190428,269.64575898247386,1,269.64575898247386,20923.953559190428,100.0
2030,reference_policy,CHN,Hydro,2105944.679767106,33319.5683157446,53,33319.5683157446,2105944.679767106,100.0
2030,reference_policy,CZE,Hydro,1000.0,23.655282743162555,1,23.655282743162555,1000.0,100.0
2030,reference_policy,DEU,Hydro,185000.0,2477.1418930960645,1,2477.1418930960645,185000.0,100.0
2030,reference_policy,ESP,Hydro,91999.99999999999,1137.1462358222727,1,1137.1462358222727,91999.99999999999,100.0
2030,reference_policy,FIN,Hydro,7000.000000000001,104.00872926303921,1,104.00872926303921,7000.000000000001,100.0
2030,reference_policy,FRA,Hydro,89000.0,2422.5646954307963,1,2422.5646954307963,89000.0,100.0
2030,reference_policy,GBR,Hydro,127000.0,1302.234777269201,1,1302.234777269201,127000.0,100.0
2030,reference_policy,HUN,Hydro,2734.2804273124434,37.411274749114654,1,37.411274749114654,2734.2804273124434,100.0
2030,reference_policy,IND,Hydro,259999.99999999997,3704.8578210575547,41,3704.8578210575547,259999.99999999997,100.0
2030,reference_policy,ITA,Hydro,89999.99999999999,2523.408229726687,1,2523.408229726687,89999.99999999999,100.0
2030,reference_policy,JPN,Hydro,16683.113817897683,215.0571548948649,1,215.0571548948649,16683.113817897683,100.0
2030,reference_policy,KOR,Hydro,644011.8020664377,6768.373270699577,23,6768.373270699577,644011.8020664377,100.0
2030,reference_policy,NLD,Hydro,28000.0,605.0224316273309,1,605.0224316273309,28000.0,100.0
2030,reference_policy,NOR,Hydro,14563.628634489778,187.86808136517973,1,187.86808136517973,14563.628634489778,100.0
2030,reference_policy,POL,Hydro,71000.0,937.7771043525595,1,937.7771043525595,71000.0,100.0
2030,reference_policy,ROM,Hydro,1000.0,0.0,1,0.0,1000.0,
2030,reference_policy,RUS,Hydro,48000.000000000015,1249.987835329079,11,1249.987835329079,48000.000000000015,100.0
2030,reference_policy,SVK,Hydro,1000.0,6.13428633063151,1,6.13428633063151,1000.0,100.0
2030,reference_policy,SWE,Hydro,35733.22133192575,489.1338298357176,1,489.1338298357176,35733.22133192575,100.0
2030,reference_policy,THA,Hydro,48000.0,578.0129667020891,25,578.0129667020891,48000.0,100.0
2030,reference_policy,TUR,Hydro,10000.0,215.26988055198214,1,215.26988055198214,10000.0,100.0
