year,policy_scenario,source_iso3,destination_iso3,dominant_technology,route_recovered_lithium_t,route_scrap_t,reference_dominant_technology,reference_route_recovered_lithium_t,reference_route_scrap_t,route_recovered_li_delta_vs_reference_t,route_disappeared_vs_reference,route_new_vs_reference,technology_switched_vs_reference
2030,current_policy,ABW,CHN,Hydro,0.4878850819194059,24.819339390129308,Hydro,0.4878850819194059,24.819339390129308,0.0,False,False,False
2030,reference_policy,ABW,CHN,Hydro,0.4878850819194059,24.819339390129308,Hydro,0.4878850819194059,24.819339390129308,0.0,False,False,False
2030,current_policy,AGO,IND,Hydro,0.2596146768518847,19.88820556117431,Hydro,0.2596146768518847,19.88820556117431,0.0,False,False,False
2030,reference_policy,AGO,IND,Hydro,0.2596146768518847,19.88820556117431,Hydro,0.2596146768518847,19.88820556117431,0.0,False,False,False
2030,current_policy,ALB,CHN,Hydro,2.030775683062248,148.42402354726005,Hydro,2.030775683062248,148.42402354726005,0.0,False,False,False
2030,reference_policy,ALB,CHN,Hydro,2.030775683062248,148.42402354726005,Hydro,2.030775683062248,148.42402354726005,0.0,False,False,False
2030,current_policy,AND,RUS,Hydro,0.0260478404576516,2.001951646701532,Hydro,0.0260478404576516,2.001951646701532,0.0,False,False,False
2030,reference_policy,AND,RUS,Hydro,0.0260478404576516,2.001951646701532,Hydro,0.0260478404576516,2.001951646701532,0.0,False,False,False
2030,current_policy,ARE,IND,Hydro,20.09208260385509,1190.823874604111,Hydro,20.09208260385509,1190.823874604111,0.0,False,False,False
2030,reference_policy,ARE,IND,Hydro,20.09208260385509,1190.823874604111,Hydro,20.09208260385509,1190.823874604111,0.0,False,False,False
2030,current_policy,ARG,THA,Hydro,17.613694607852427,1353.5255744340511,Hydro,17.613694607852427,1353.5255744340511,0.0,False,False,False
2030,reference_policy,ARG,THA,Hydro,17.613694607852427,1353.5255744340511,Hydro,17.613694607852427,1353.5255744340511,0.0,False,False,False
2030,current_policy,ARM,IND,Hydro,0.1786287002108778,7.141582894956569,Hydro,0.1786287002108778,7.141582894956569,0.0,False,False,False
2030,reference_policy,ARM,IND,Hydro,0.1786287002108778,7.141582894956569,Hydro,0.1786287002108778,7.141582894956569,0.0,False,False,False
2030,current_policy,AUS,AUS,Hydro,62.558014169243314,11000.0,Hydro,61.35681957939812,11000.0,1.2011945898451941,False,False,False
2030,reference_policy,AUS,AUS,Hydro,61.35681957939812,11000.0,Hydro,61.35681957939812,11000.0,0.0,False,False,False
2030,current_policy,AUS,KOR,Hydro,164.85762827236297,6646.687259594157,Hydro,166.0588228622082,6646.687259594158,-1.2011945898452154,False,False,False
2030,reference_policy,AUS,KOR,Hydro,166.0588228622082,6646.687259594158,Hydro,166.0588228622082,6646.687259594158,0.0,False,False,False
2030,current_policy,AUT,KOR,Hydro,362.46238374822406,26486.995063529997,Hydro,362.46238374822406,26486.995063529997,0.0,False,False,False
2030,reference_policy,AUT,KOR,Hydro,362.46238374822406,26486.995063529997,Hydro,362.46238374822406,26486.995063529997,0.0,False,False,False
2030,current_policy,AZE,IND,Hydro,3.066692549256279,237.88480877750376,Hydro,3.066692549256279,237.88480877750376,0.0,False,False,False
2030,reference_policy,AZE,IND,Hydro,3.066692549256279,237.88480877750376,Hydro,3.066692549256279,237.88480877750376,0.0,False,False,False
2030,current_policy,BDI,IND,Hydro,1.0144621912519038,78.14964393436138,Hydro,1.0144621912519038,78.14964393436138,0.0,False,False,False
2030,reference_policy,BDI,IND,Hydro,1.0144621912519038,78.14964393436138,Hydro,1.0144621912519038,78.14964393436138,0.0,False,False,False
2030,current_policy,BEL,BEL,Hydro,200.80288141151257,9000.0,Hydro,0.0,9000.0,200.80288141151257,False,True,False
2030,reference_policy,BEL,BEL,Hydro,0.0,9000.0,Hydro,0.0,9000.0,0.0,False,False,False
2030,current_policy,BEL,KOR,Hydro,316.9950631953592,28841.795975447316,Hydro,517.7979446068717,28841.795975447316,-200.80288141151254,False,False,False
2030,reference_policy,BEL,KOR,Hydro,517.7979446068717,28841.795975447316,Hydro,517.7979446068717,28841.795975447316,0.0,False,False,False
2030,current_policy,BEN,IND,Hydro,2.7596970995481125,214.1448733914073,Hydro,2.7596970995481125,214.1448733914073,0.0,False,False,False
2030,reference_policy,BEN,IND,Hydro,2.7596970995481125,214.1448733914073,Hydro,2.7596970995481125,214.1448733914073,0.0,False,False,False
2030,current_policy,BFA,IND,Hydro,2.6865541884589907,208.37547168791065,Hydro,2.6865541884589907,208.37547168791065,0.0,False,False,False
2030,reference_policy,BFA,IND,Hydro,2.6865541884589907,208.37547168791065,Hydro,2.6865541884589907,208.37547168791065,0.0,False,False,False
2030,current_policy,BGD,THA,Hydro,0.0137316012193491,1.057355941410688,Hydro,0.0137316012193491,1.057355941410688,0.0,False,False,False
2030,reference_policy,BGD,THA,Hydro,0.0137316012193491,1.057355941410688,Hydro,0.0137316012193491,1.057355941410688,0.0,False,False,False
2030,current_policy,BGR,CHN,Hydro,9.26140940476798,676.8918418869739,Hydro,9.26140940476798,676.8918418869739,0.0,False,False,False
2030,reference_policy,BGR,CHN,Hydro,9.26140940476798,676.8918418869739,Hydro,9.26140940476798,676.8918418869739,0.0,False,False,False
2030,current_policy,BHR,IND,Hydro,0.0513233458591921,3.9431108908774446,Hydro,0.0513233458591921,3.9431108908774446,0.0,False,False,False
2030,reference_policy,BHR,IND,Hydro,0.0513233458591921,3.9431108908774446,Hydro,0.0513233458591921,3.9431108908774446,0.0,False,False,False
2030,current_policy,BHS,CHN,Hydro,0.00010368152360900374,0.0080356430415915,Hydro,0.00010368152360900374,0.0080356430415915,0.0,False,False,False
2030,reference_policy,BHS,CHN,Hydro,0.00010368152360900374,0.0080356430415915,Hydro,0.00010368152360900374,0.0080356430415915,0.0,False,False,False
2030,current_policy,BIH,CHN,Hydro,0.8031935169001737,62.31948442184624,Hydro,0.8031935169001737,62.31948442184624,0.0,False,False,False
2030,reference_policy,BIH,CHN,Hydro,0.8031935169001737,62.31948442184624,Hydro,0.8031935169001737,62.31948442184624,0.0,False,False,False
2030,current_policy,BLR,RUS,Hydro,9.500649903393816,737.0331505967692,Hydro,9.500649903393816,737.0331505967692,0.0,False,False,False
2030,reference_policy,BLR,RUS,Hydro,9.500649903393816,737.0331505967692,Hydro,9.500649903393816,737.0331505967692,0.0,False,False,False
2030,current_policy,BMU,CHN,Hydro,0.0313021886130075,0.9462929709559008,Hydro,0.0313021886130075,0.9462929709559008,0.0,False,False,False
2030,reference_policy,BMU,CHN,Hydro,0.0313021886130075,0.9462929709559008,Hydro,0.0313021886130075,0.9462929709559008,0.0,False,False,False
2030,current_policy,BOL,CHN,Hydro,6.980888541360299,541.589465913574,Hydro,6.980888541360299,541.589465913574,0.0,False,False,False
2030,reference_policy,BOL,CHN,Hydro,6.980888541360299,541.589465913574,Hydro,6.980888541360299,541.589465913574,0.0,False,False,False
2030,current_policy,BRA,BRA,Hydro,242.5775,10000.0,Hydro,297.08316708469704,10000.0,-54.50566708469705,False,False,False
2030,reference_policy,BRA,BRA,Hydro,297.08316708469704,10000.0,Hydro,297.08316708469704,10000.0,0.0,False,False,False
2030,current_policy,BRA,CHN,Hydro,757.2867604208968,232752.95225308818,Hydro,1852.6336969410581,232752.95225308806,-1095.3469365201613,False,False,False
2030,reference_policy,BRA,CHN,Hydro,1852.6336969410581,232752.95225308806,Hydro,1852.6336969410581,232752.95225308806,0.0,False,False,False
2030,current_policy,BRA,IND,Hydro,5016.242555056266,189086.61873366195,Hydro,2785.3835629619307,189086.61873366206,2230.858992094335,False,False,False
2030,reference_policy,BRA,IND,Hydro,2785.3835629619307,189086.61873366206,Hydro,2785.3835629619307,189086.61873366206,0.0,False,False,False
2030,current_policy,BRA,RUS,Hydro,0.0,35014.05375125843,Hydro,1081.006388489477,35014.05375125843,-1081.006388489477,True,False,False
2030,reference_policy,BRA,RUS,Hydro,1081.006388489477,35014.05375125843,Hydro,1081.006388489477,35014.05375125843,0.0,False,False,False
2030,current_policy,BRB,CHN,Hydro,0.9015332460551002,69.96443951818505,Hydro,0.9015332460551002,69.96443951818505,0.0,False,False,False
2030,reference_policy,BRB,CHN,Hydro,0.9015332460551002,69.96443951818505,Hydro,0.9015332460551002,69.96443951818505,0.0,False,False,False
2030,current_policy,BRN,THA,Hydro,0.12466137392739769,9.648582455127254,Hydro,0.12466137392739769,9.648582455127254,0.0,False,False,False
2030,reference_policy,BRN,THA,Hydro,0.12466137392739769,9.648582455127254,Hydro,0.12466137392739769,9.648582455127254,0.0,False,False,False
2030,current_policy,BWA,THA,Hydro,1.9253965922648373,149.2848677641601,Hydro,1.9253965922648373,149.2848677641601,0.0,False,False,False
2030,reference_policy,BWA,THA,Hydro,1.9253965922648373,149.2848677641601,Hydro,1.9253965922648373,149.2848677641601,0.0,False,False,False
2030,current_policy,CAN,CAN,Hydro,1041.5591249780339,80824.34208789561,Hydro,1041.5591249780339,80824.34208789561,0.0,False,False,False
2030,reference_policy,CAN,CAN,Hydro,1041.5591249780339,80824.34208789561,Hydro,1041.5591249780339,80824.34208789561,0.0,False,False,False
2030,current_policy,CHE,CHE,Hydro,269.64575898247386,20923.953559190428,Hydro,269.64575898247386,20923.953559190428,0.0,False,False,False
2030,reference_policy,CHE,CHE,Hydro,269.64575898247386,20923.953559190428,Hydro,269.64575898247386,20923.953559190428,0.0,False,False,False
2030,current_policy,CHL,THA,Hydro,3.1928906471147047,247.74467141147056,Hydro,3.1928906471147047,247.74467141147056,0.0,False,False,False
2030,reference_policy,CHL,THA,Hydro,3.1928906471147047,247.74467141147056,Hydro,3.1928906471147047,247.74467141147056,0.0,False,False,False
2030,current_policy,CHN,CHN,Hydro,30732.050206555345,1815439.5866677614,Hydro,30732.050206555345,1815439.5866677614,0.0,False,False,False
2030,reference_policy,CHN,CHN,Hydro,30732.050206555345,1815439.5866677614,Hydro,30732.050206555345,1815439.5866677614,0.0,False,False,False
2030,current_policy,CIV,IND,Hydro,1.0854487379077518,83.84733796275725,Hydro,1.0854487379077518,83.84733796275725,0.0,False,False,False
2030,reference_policy,CIV,IND,Hydro,1.0854487379077518,83.84733796275725,Hydro,1.0854487379077518,83.84733796275725,0.0,False,False,False
2030,current_policy,CMR,IND,Hydro,0.02602201379540631,1.89455515029836,Hydro,0.02602201379540631,1.89455515029836,0.0,False,False,False
2030,reference_policy,CMR,IND,Hydro,0.02602201379540631,1.89455515029836,Hydro,0.02602201379540631,1.89455515029836,0.0,False,False,False
2030,current_policy,COG,IND,Hydro,0.0918650609473483,3.5458555319440253,Hydro,0.0918650609473483,3.5458555319440253,0.0,False,False,False
2030,reference_policy,COG,IND,Hydro,0.0918650609473483,3.5458555319440253,Hydro,0.0918650609473483,3.5458555319440253,0.0,False,False,False
2030,current_policy,COL,CHN,Hydro,16.127960708705885,1250.8845985223147,Hydro,16.127960708705885,1250.8845985223147,0.0,False,False,False
2030,reference_policy,COL,CHN,Hydro,16.127960708705885,1250.8845985223147,Hydro,16.127960708705885,1250.8845985223147,0.0,False,False,False
2030,current_policy,COM,THA,Hydro,0.0081498982050407,0.632384953677305,Hydro,0.0081498982050407,0.632384953677305,0.0,False,False,False
2030,reference_policy,COM,THA,Hydro,0.0081498982050407,0.632384953677305,Hydro,0.0081498982050407,0.632384953677305,0.0,False,False,False
2030,current_policy,CPV,RUS,Hydro,0.0269509200626992,2.0859611473101696,Hydro,0.0269509200626992,2.0859611473101696,0.0,False,False,False
2030,reference_policy,CPV,RUS,Hydro,0.0269509200626992,2.0859611473101696,Hydro,0.0269509200626992,2.0859611473101696,0.0,False,False,False
2030,current_policy,CRI,CHN,Hydro,4.2128399714384654,325.90245982428337,Hydro,4.2128399714384654,325.90245982428337,0.0,False,False,False
2030,reference_policy,CRI,CHN,Hydro,4.2128399714384654,325.90245982428337,Hydro,4.2128399714384654,325.90245982428337,0.0,False,False,False
2030,current_policy,CYM,CHN,Hydro,0.0518973526927976,4.027266124648181,Hydro,0.0518973526927976,4.027266124648181,0.0,False,False,False
2030,reference_policy,CYM,CHN,Hydro,0.0518973526927976,4.027266124648181,Hydro,0.0518973526927976,4.027266124648181,0.0,False,False,False
2030,current_policy,CYP,IND,Hydro,4.882764094642915,356.8651134868235,Hydro,4.882764094642915,356.8651134868235,0.0,False,False,False
