,country,type,recycling_m,scrap,unit_cost,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,LFP,Direct,0.0,0.0,0.0,high_collection,baseline
1,Afghanistan,LFP,Hydro,0.0,0.0,0.0,high_collection,baseline
2,Afghanistan,LFP,Pyro,0.0,0.0,0.0,high_collection,baseline
3,Afghanistan,NCA,Direct,0.0182460604327426,14638.486704383096,-14627.93981667262,high_collection,baseline
4,Afghanistan,NCA,Hydro,0.0182460604327426,304023.8058828338,-304015.35992772254,high_collection,baseline
5,Afghanistan,NCA,Pyro,0.0182460604327426,212072.90204759664,-212067.8712838021,high_collection,baseline
6,Afghanistan,NMC111,Direct,0.00462766302657,36572.10378800187,-36566.76716898422,high_collection,baseline
7,Afghanistan,NMC111,Hydro,0.00462766302657,1084216.229703476,-1084208.1291359204,high_collection,baseline
8,Afghanistan,NMC111,Pyro,0.00462766302657,696980.7817074861,-696976.2336407449,high_collection,baseline
9,Afghanistan,NMC523,Direct,0.0057393739296778,31677.019322380576,-31676.908499559195,high_collection,baseline
10,Afghanistan,NMC523,Hydro,0.0057393739296778,888086.5916130815,-888079.0724861027,high_collection,baseline
11,Afghanistan,NMC523,Pyro,0.0057393739296778,578265.2629963513,-578261.065690804,high_collection,baseline
12,Afghanistan,NMC622,Direct,0.0,0.0,0.0,high_collection,baseline
13,Afghanistan,NMC622,Hydro,0.0,0.0,0.0,high_collection,baseline
14,Afghanistan,NMC622,Pyro,0.0,0.0,0.0,high_collection,baseline
15,Afghanistan,NMC811,Direct,0.0,0.0,0.0,high_collection,baseline
16,Afghanistan,NMC811,Hydro,0.0,0.0,0.0,high_collection,baseline
17,Afghanistan,NMC811,Pyro,0.0,0.0,0.0,high_collection,baseline
18,Albania,LFP,Direct,24.765506766402016,62.1593005821544,-58.90351983634896,high_collection,baseline
19,Albania,LFP,Hydro,24.765506766402016,152.87228232064203,-151.30925430113402,high_collection,baseline
20,Albania,LFP,Pyro,24.765506766402016,171.92497814714767,-171.1674904545011,high_collection,baseline
21,Albania,NCA,Direct,9570.620949548658,4.1177712378337645,6.396960986486593,high_collection,baseline
22,Albania,NCA,Hydro,9570.620949548658,3.1065930191507456,5.309868205500165,high_collection,baseline
23,Albania,NCA,Pyro,9570.620949548658,4.691847486931976,0.3151626614829053,high_collection,baseline
24,Albania,NMC111,Direct,5432.307659613195,5.330099135643002,-0.02701040356788765,high_collection,baseline
25,Albania,NMC111,Hydro,5432.307659613195,4.4993271135636626,3.5695855570868957,high_collection,baseline
26,Albania,NMC111,Pyro,5432.307659613195,6.607442694867817,-2.081299662608312,high_collection,baseline
27,Albania,NMC523,Direct,6107.561144332076,5.053002892536269,-4.974906200142907,high_collection,baseline
28,Albania,NMC523,Hydro,6107.561144332076,4.167427932050293,3.3207837716571054,high_collection,baseline
29,Albania,NMC523,Pyro,6107.561144332076,6.155628960007628,-1.9809593698149242,high_collection,baseline
30,Albania,NMC622,Direct,3025.828493102036,6.958852657699774,1.5915142582631272,high_collection,baseline
31,Albania,NMC622,Hydro,3025.828493102036,6.597259597192178,1.341151856337198,high_collection,baseline
32,Albania,NMC622,Pyro,3025.828493102036,9.411755511433295,-4.853761040363517,high_collection,baseline
33,Albania,NMC811,Direct,1884.4139939032236,8.634815133354854,1.653330433980821,high_collection,baseline
34,Albania,NMC811,Hydro,1884.4139939032236,8.992433709946928,-1.261189605549801,high_collection,baseline
35,Albania,NMC811,Pyro,1884.4139939032236,12.53154682721029,-8.016727105374748,high_collection,baseline
36,Algeria,LFP,Direct,0.0,0.0,0.0,high_collection,baseline
37,Algeria,LFP,Hydro,0.0,0.0,0.0,high_collection,baseline
38,Algeria,LFP,Pyro,0.0,0.0,0.0,high_collection,baseline
39,Algeria,NCA,Direct,915.596832583318,11.722127848502318,-1.1752401380273163,high_collection,baseline
40,Algeria,NCA,Hydro,915.596832583318,14.189652470177062,-5.743697358957061,high_collection,baseline
41,Algeria,NCA,Pyro,915.596832583318,19.032793157575984,-14.002029363011983,high_collection,baseline
42,Algeria,NMC111,Direct,233.2270647772064,22.833765870362768,-17.49714685271077,high_collection,baseline
43,Algeria,NMC111,Hydro,233.2270647772064,36.904354043842794,-28.80378648842079,high_collection,baseline
44,Algeria,NMC111,Pyro,233.2270647772064,46.143431224925955,-41.595364483685955,high_collection,baseline
45,Algeria,NMC523,Direct,287.6432568650081,20.61452711649546,-20.503704295115458,high_collection,baseline
46,Algeria,NMC523,Hydro,287.6432568650081,31.873030779260837,-24.353903800407238,high_collection,baseline
47,Algeria,NMC523,Pyro,287.6432568650081,40.283984387076046,-36.08667883972205,high_collection,baseline
48,Algeria,NMC622,Direct,142.4104580004578,29.042221362001346,-20.459353915996346,high_collection,baseline
49,Algeria,NMC622,Hydro,142.4104580004578,52.09691606841286,-44.12785048246406,high_collection,baseline
50,Algeria,NMC622,Pyro,142.4104580004578,63.510139450219384,-58.929147274339385,high_collection,baseline
51,Algeria,NMC811,Direct,113.30008974138876,32.46756234758657,-22.147982067686574,high_collection,baseline
52,Algeria,NMC811,Hydro,113.30008974138876,61.12555633875611,-53.36466127624731,high_collection,baseline
53,Algeria,NMC811,Pyro,113.30008974138876,73.64684598403475,-69.10799906413375,high_collection,baseline
54,Andorra,LFP,Direct,0.0,0.0,0.0,high_collection,baseline
55,Andorra,LFP,Hydro,0.0,0.0,0.0,high_collection,baseline
56,Andorra,LFP,Pyro,0.0,0.0,0.0,high_collection,baseline
57,Andorra,NCA,Direct,4.424378042262794,136.25114585502925,-125.70425814455425,high_collection,baseline
58,Andorra,NCA,Hydro,4.424378042262794,471.5657256678142,-463.1197705565942,high_collection,baseline
59,Andorra,NCA,Pyro,4.424378042262794,487.00130032937057,-481.97053653480657,high_collection,baseline
60,Andorra,NMC111,Direct,1.134104997518821,253.3541223652416,-248.0175033475896,high_collection,baseline
61,Andorra,NMC111,Hydro,1.134104997518821,1148.6981547530609,-1140.5975871976389,high_collection,baseline
62,Andorra,NMC111,Pyro,1.134104997518821,1109.0015684365528,-1104.4535016953128,high_collection,baseline
63,Andorra,NMC523,Direct,1.3854661799594947,231.26577852444302,-231.15495570306302,high_collection,baseline
64,Andorra,NMC523,Hydro,1.3854661799594947,1007.7261836206458,-1000.2070566417922,high_collection,baseline
65,Andorra,NMC523,Pyro,1.3854661799594947,982.5893330350162,-978.3920274876623,high_collection,baseline
66,Andorra,NMC622,Direct,0.6856518671335555,318.6493667456865,-310.0664992996815,high_collection,baseline
67,Andorra,NMC622,Hydro,0.6856518671335555,1596.4105772925232,-1588.4415117065744,high_collection,baseline
68,Andorra,NMC622,Pyro,0.6856518671335555,1503.327580763832,-1498.746588587952,high_collection,baseline
69,Andorra,NMC811,Direct,0.545516148650281,353.6377754491072,-343.31819516920723,high_collection,baseline
70,Andorra,NMC811,Hydro,0.545516148650281,1853.9051082855863,-1846.1442132230775,high_collection,baseline
71,Andorra,NMC811,Pyro,0.545516148650281,1726.1630989152247,-1721.6242519953237,high_collection,baseline
72,Angola,LFP,Direct,0.0,0.0,0.0,high_collection,baseline
73,Angola,LFP,Hydro,0.0,0.0,0.0,high_collection,baseline
74,Angola,LFP,Pyro,0.0,0.0,0.0,high_collection,baseline
