From Region,To Region,Amount Transported,Remaining Storage
Australia,Korea,0.10100000000000008,54.044550073264425
Belgium,Japan,2.2769999999998602,15.847322824720935
Brazil,Sweden,7.56300000000086,0.000735360881641057
Brazil,USA,5.729000000000248,0.004820556013008016
Czechia,Hungary,0.3960000000000003,8.460871627224543
Finland,Sweden,0.1400000000000001,7.563735360882547
France,Korea,7.278000000000765,42.94855007326541
France,Spain,0.2490000000000002,0.0008574631006073039
Germany,Korea,1.9609999999998948,40.9875500732665
Germany,Poland,2.468999999999839,0.00024088732378258013
Germany,Spain,0.2470000000000002,0.0018574631006073048
Germany,USA,5.473000000000162,0.0008205560130102327
Italy,Hungary,7.954000000000991,0.703871627223902
Italy,Spain,0.21500000000000016,0.0048574631006073074
Netherlands,Korea,1.1629999999999827,50.45055007326473
Romania,Spain,0.12800000000000009,0.34385746310060755
Slovakia,Korea,0.3120000000000002,53.04255007326448
Turkey,Hungary,0.3070000000000002,8.672871627224543
United Kingdom,Korea,0.3930000000000003,52.886550073264495
Viet Nam,Korea,2.3399999999998533,48.11255007326395
