draw_id,year,policy_scenario,target_region,scope,direct_share_threshold_pct,direct_entry_target_share,direct_entry_target_share_pct,direct_share_at_entry_pct,direct_share_at_95pct_target_pct,direct_share_at_100pct_target_pct,reference_entry_target_share,entry_target_share_delta_vs_reference,entry_target_share_pct_point_delta_vs_reference
0,2030,reference_policy,European Union,global,20.0,1.0,100.0,29.332561626363084,0.0,29.332561626363084,1.0,0.0,0.0
0,2030,reference_policy,European Union,global,50.0,,,,0.0,29.332561626363084,,,
0,2030,reference_policy,European Union,target_region,5.0,0.99,99.0,52.0154040356062,0.0,99.99524999525362,0.99,0.0,0.0
0,2030,reference_policy,European Union,target_region,20.0,0.99,99.0,52.0154040356062,0.0,99.99524999525362,0.99,0.0,0.0
0,2030,reference_policy,European Union,target_region,50.0,0.99,99.0,52.0154040356062,0.0,99.99524999525362,0.99,0.0,0.0
0,2030,reference_policy,United States,global,5.0,0.99,99.0,5.277886213748807,0.0,10.237830685835448,0.99,0.0,0.0
0,2030,reference_policy,United States,global,20.0,,,,0.0,10.237830685835448,,,
0,2030,reference_policy,United States,global,50.0,,,,0.0,10.237830685835448,,,
0,2030,reference_policy,United States,target_region,5.0,0.99,99.0,52.02020202020232,0.0,100.0,0.99,0.0,0.0
0,2030,reference_policy,United States,target_region,20.0,0.99,99.0,52.02020202020232,0.0,100.0,0.99,0.0,0.0
0,2030,reference_policy,United States,target_region,50.0,0.99,99.0,52.02020202020232,0.0,100.0,0.99,0.0,0.0
0,2030,strict_policy,China,global,5.0,0.99,99.0,24.183100752221897,0.0,46.73800729762768,0.99,0.0,0.0
0,2030,strict_policy,China,global,20.0,0.99,99.0,24.183100752221897,0.0,46.73800729762768,0.99,0.0,0.0
0,2030,strict_policy,China,global,50.0,,,,0.0,46.73800729762768,1.0,,
0,2030,strict_policy,China,target_region,5.0,0.99,99.0,52.020202020202,0.0,100.0,0.99,0.0,0.0
0,2030,strict_policy,China,target_region,20.0,0.99,99.0,52.020202020202,0.0,100.0,0.99,0.0,0.0
0,2030,strict_policy,China,target_region,50.0,0.99,99.0,52.020202020202,0.0,100.0,0.99,0.0,0.0
0,2030,strict_policy,European Union,global,5.0,0.99,99.0,15.1500344989225,0.0,29.332561626362963,0.99,0.0,0.0
0,2030,strict_policy,European Union,global,20.0,1.0,100.0,29.332561626362963,0.0,29.332561626362963,1.0,0.0,0.0
0,2030,strict_policy,European Union,global,50.0,,,,0.0,29.332561626362963,,,
0,2030,strict_policy,European Union,target_region,5.0,0.99,99.0,52.01540403560664,0.0,99.9952499952532,0.99,0.0,0.0
0,2030,strict_policy,European Union,target_region,20.0,0.99,99.0,52.01540403560664,0.0,99.9952499952532,0.99,0.0,0.0
0,2030,strict_policy,European Union,target_region,50.0,0.99,99.0,52.01540403560664,0.0,99.9952499952532,0.99,0.0,0.0
0,2030,strict_policy,United States,global,5.0,0.99,99.0,5.277886213748947,0.0,10.237830685835531,0.99,0.0,0.0
0,2030,strict_policy,United States,global,20.0,,,,0.0,10.237830685835531,,,
0,2030,strict_policy,United States,global,50.0,,,,0.0,10.237830685835531,,,
0,2030,strict_policy,United States,target_region,5.0,0.99,99.0,52.0202020202037,0.0,100.0,0.99,0.0,0.0
0,2030,strict_policy,United States,target_region,20.0,0.99,99.0,52.0202020202037,0.0,100.0,0.99,0.0,0.0
0,2030,strict_policy,United States,target_region,50.0,0.99,99.0,52.0202020202037,0.0,100.0,0.99,0.0,0.0
0,2040,critical_route_policy,China,global,5.0,0.99,99.0,27.957932386176797,0.0,53.99412809306817,0.99,0.0,0.0
0,2040,critical_route_policy,China,global,20.0,0.99,99.0,27.957932386176797,0.0,53.99412809306817,0.99,0.0,0.0
0,2040,critical_route_policy,China,global,50.0,1.0,100.0,53.99412809306817,0.0,53.99412809306817,1.0,0.0,0.0
0,2040,critical_route_policy,China,target_region,5.0,0.99,99.0,52.02020202020062,0.0,100.0,0.99,0.0,0.0
0,2040,critical_route_policy,China,target_region,20.0,0.99,99.0,52.02020202020062,0.0,100.0,0.99,0.0,0.0
0,2040,critical_route_policy,China,target_region,50.0,0.99,99.0,52.02020202020062,0.0,100.0,0.99,0.0,0.0
0,2040,critical_route_policy,European Union,global,5.0,0.99,99.0,10.828787716656,0.0,20.9845219795618,0.99,0.0,0.0
0,2040,critical_route_policy,European Union,global,20.0,1.0,100.0,20.9845219795618,0.0,20.9845219795618,1.0,0.0,0.0
0,2040,critical_route_policy,European Union,global,50.0,,,,0.0,20.9845219795618,,,
0,2040,critical_route_policy,European Union,target_region,5.0,0.99,99.0,52.010606046199534,0.0,99.99049998573857,0.99,0.0,0.0
0,2040,critical_route_policy,European Union,target_region,20.0,0.99,99.0,52.010606046199534,0.0,99.99049998573857,0.99,0.0,0.0
0,2040,critical_route_policy,European Union,target_region,50.0,0.99,99.0,52.010606046199534,0.0,99.99049998573857,0.99,0.0,0.0
0,2040,critical_route_policy,United States,global,5.0,0.99,99.0,7.322454750694249,0.0,14.19880459654598,0.99,0.0,0.0
0,2040,critical_route_policy,United States,global,20.0,,,,0.0,14.19880459654598,,,
