draw_id,year,policy_scenario,target_region,share_95,share_100,cost_at_95,cost_at_100,cost_delta_95_to_100,cost_delta_pct,target_constraint_li_delta_t,actual_target_li_delta_t,global_recovered_li_delta_t,cost_per_additional_target_constraint_li_t,cost_per_additional_actual_target_li_t,cost_per_additional_global_li_t,target_li_at_95,target_li_at_100,global_li_at_95,global_li_at_100,target_attainment_at_95_pct,target_attainment_at_100_pct,direct_recovered_lithium_t_global_95,direct_recovered_lithium_t_target_region_95,direct_technology_share_pct_global_95,direct_technology_share_pct_target_region_95,direct_recovered_lithium_t_global_100,direct_recovered_lithium_t_target_region_100,direct_technology_share_pct_global_100,direct_technology_share_pct_target_region_100,reference_cost_delta_95_to_100,cost_delta_95_to_100_vs_reference
0,2030,critical_route_policy,China,0.95,1.0,7471076.157113247,8394273.814710272,923197.6575970259,12.356956858458002,1767.467656715664,823.8175660658962,728.8526419455011,522.327893293689,1120.6336155293639,1266.6451412356362,34525.53556824828,35349.35313431417,71609.35984021363,72338.21248215913,97.66949747868134,100.00000000000252,0.0,0.0,0.0,0.0,35349.35313431417,35349.35313431417,48.86677721409336,100.0,1123437.9046672909,-200240.247070265
0,2030,critical_route_policy,European Union,0.95,1.0,7617633.493504454,8313795.21288124,696161.7193767857,9.13881876793366,1056.6836399491294,1056.683639949155,435.72513295919634,658.8175429784264,658.8175429784105,1597.7084329491227,20076.989159033463,21133.672798982618,71609.35984021364,72045.08497317284,94.99999999999991,100.00000000000004,0.0,0.0,0.0,0.0,21132.668948521823,21132.668948521823,29.33256162636343,99.99524999525477,701931.4323741812,-5769.712997395545
0,2030,critical_route_policy,United States,0.95,1.0,7471076.157113247,7760728.364337155,289652.20722390804,3.8769810551071524,367.33766125277725,151.47944793932857,151.4794479393313,788.51758960971,1912.1551548030545,1912.15515480302,7195.273777116255,7346.753225055583,71609.35984021363,71760.83928815296,97.93814432989691,100.00000000000055,0.0,0.0,0.0,0.0,7346.753225055583,7346.753225055583,10.237830685835448,100.0,289652.20722390804,0.0
0,2030,current_policy,China,0.95,1.0,7557033.1185253,8691537.659127709,1134504.5406024083,15.012565418315893,2131.3966384098094,2131.3966384097657,878.8846997807559,532.2822229131592,532.2822229131701,1290.8457057966973,40496.53612978639,42627.93276819616,71609.35984021363,72488.24453999438,95.0000000000001,100.00000000000004,0.0,0.0,0.0,0.0,42625.9079393662,42625.9079393662,58.8038904926825,99.99524999525318,1123437.9046672909,11066.63593511749
0,2030,current_policy,European Union,0.95,1.0,7702337.216510531,8396371.700066231,694034.4835557006,9.010699792109676,1056.6836399491294,1056.6836399491622,435.7251329592109,656.8044183868624,656.804418386842,1592.8263739164906,20076.98915903345,21133.67279898261,71609.35984021363,72045.08497317284,94.99999999999986,100.0,0.0,0.0,0.0,0.0,21132.66894852147,21132.66894852147,29.332561626362946,99.99524999525312,701931.4323741812,-7896.948818480596
0,2030,current_policy,United States,0.95,1.0,7541686.070601147,7831338.277825048,289652.2072239015,3.8406823688010308,367.33766125277725,151.47944793928855,151.4794479393022,788.5175896096921,1912.1551548035166,1912.1551548033444,7195.273777116255,7346.753225055543,71609.35984021363,71760.83928815293,97.93814432989691,100.0,0.0,0.0,0.0,0.0,7346.753225055518,7346.753225055518,10.23783068583536,99.99999999999966,289652.20722390804,-6.51925802230835e-09
0,2030,reference_policy,China,0.95,1.0,7433060.544193809,8556498.4488611,1123437.9046672909,15.114069070039292,2131.3966384098094,2131.396638409773,878.8846997807559,527.0900237064578,527.0900237064668,1278.2540246149927,40496.53612978639,42627.932768196166,71609.35984021363,72488.24453999438,95.00000000000011,100.00000000000004,0.0,0.0,0.0,0.0,42625.90793936628,42625.90793936628,58.80389049268262,99.99524999525336,1123437.9046672909,0.0
0,2030,reference_policy,European Union,0.95,1.0,7604823.795231903,8306755.227606084,701931.4323741812,9.230081475579755,1056.6836399491294,1056.6836399491622,435.7251329592109,664.2777514829069,664.2777514828863,1610.950067550706,20076.98915903345,21133.67279898261,71609.35984021363,72045.08497317284,94.99999999999986,100.0,0.0,0.0,0.0,0.0,21132.66894852157,21132.66894852157,29.332561626363084,99.99524999525362,701931.4323741812,0.0
0,2030,reference_policy,United States,0.95,1.0,7424680.344611992,7714332.5518359,289652.20722390804,3.901207779727587,367.33766125277725,151.47944793932857,151.4794479393313,788.51758960971,1912.1551548030545,1912.15515480302,7195.273777116255,7346.753225055583,71609.35984021363,71760.83928815296,97.9381443298969,100.00000000000054,0.0,0.0,0.0,0.0,7346.753225055583,7346.753225055583,10.237830685835448,100.0,289652.20722390804,0.0
0,2030,strict_policy,China,0.95,1.0,7573935.044097201,8457011.869952045,883076.8258548444,11.659419056453045,1689.7227468744313,696.7928853090561,696.7928853090416,522.6164040747619,1267.3447798812751,1267.3447798813017,33097.66205217954,33794.4549374886,71609.35984021363,72306.15272552267,97.93814432989689,100.00000000000004,0.0,0.0,0.0,0.0,33794.4549374886,33794.4549374886,46.73800729762768,100.0,1123437.9046672909,-240361.07881244645
