Year,country,iso3,object_scope,policy_count,active_policy_ids,source_basis,collection_rate_floor,li_recovery_efficiency_floor,recycled_content_li_min,traceability_requirement,battery_passport_requirement,epr_strength,domestic_content_pressure,hazardous_transport_penalty,storage_deployment_target_gwh,ev_sales_target,policy_collection_multiplier,policy_recovery_multiplier,secondary_li_demand_pull,trade_policy_penalty_multiplier
2025,Australia,AUS,ev_power_battery,1,AUS_BCYCLE,stewardship_scheme,0.3,0.0,0.0,0.3,0.1,0.4,0.2,0.1,0.0,0.0,1.11,1.0,0.013000000000000001,1.1
2025,Australia,AUS,stationary_storage_battery,1,AUS_BCYCLE,stewardship_scheme,0.3,0.0,0.0,0.3,0.1,0.4,0.2,0.1,0.0,0.0,1.11,1.0,0.013000000000000001,1.1
2025,Canada,CAN,ev_power_battery,1,CAN_CRITICAL_MINERALS,official_strategy,0.0,0.0,0.0,0.2,0.1,0.3,0.5,0.1,0.0,0.0,1.08,1.0,0.028,1.1
2025,Canada,CAN,stationary_storage_battery,1,CAN_CRITICAL_MINERALS,official_strategy,0.0,0.0,0.0,0.2,0.1,0.3,0.5,0.1,0.0,0.0,1.08,1.0,0.028,1.1
2025,China,CHN,ev_power_battery,1,CHN_POWER_BATT_2024,regulation_proxy,0.7,0.9,0.0,1.0,0.4,0.9,0.3,0.2,0.0,0.0,1.28,1.135,0.027,1.2
2025,India,IND,ev_power_battery,2,IND_BWM_EPR;IND_PM_EDRIVE,regulation;official_target,0.45,0.0,0.0,0.6,0.2,0.8,0.3,0.2,0.0,0.0,1.2200000000000002,1.0,0.020999999999999998,1.2
2025,India,IND,stationary_storage_battery,2,IND_BWM_EPR;IND_STORAGE_OBLIGATION,regulation;official_target,0.45,0.0,0.0,0.6,0.2,0.8,0.2,0.2,0.0,0.0,1.2200000000000002,1.0,0.016,1.2
2025,Korea,KOR,ev_power_battery,1,KOR_EV_BATT_CIRCULARITY,regulation_proxy,0.4,0.0,0.0,0.5,0.1,0.5,0.5,0.1,0.0,0.0,1.1500000000000001,1.0,0.028,1.1
2025,USA,USA,ev_power_battery,2,USA_IRA_EV_MINERALS;USA_EPA_LI_ION_WASTE,regulation;regulation_proxy,0.35,0.0,0.0,0.4,0.2,0.4,0.8,0.5,0.0,0.0,1.12,1.0,0.046000000000000006,1.5
2025,USA,USA,stationary_storage_battery,2,USA_EPA_LI_ION_WASTE;USA_STORAGE_2030,regulation_proxy;official_target,0.35,0.0,0.0,0.3,0.1,0.4,0.6,0.5,0.0,0.0,1.11,1.0,0.033,1.5
