,country,type,recycling_m,net_profit
6,Afghanistan,LFP,Hydro,0.0
11,Afghanistan,NCA,Hydro,-5139.791238035481
7,Afghanistan,NMC111,Hydro,-12811.438801602568
10,Afghanistan,NMC523,Hydro,-11101.935886121892
8,Afghanistan,NMC622,Hydro,-17714.91680582707
9,Afghanistan,NMC811,Hydro,-51908.10151623059
18,Albania,LFP,Hydro,-22776.671792699482
23,Albania,NCA,Hydro,-2437.4788559411254
19,Albania,NMC111,Hydro,-2985.2525763912336
22,Albania,NMC523,Hydro,-3147.015991716618
20,Albania,NMC622,Hydro,-5554.689870700935
21,Albania,NMC811,Hydro,-10720.776724117784
258,Algeria,LFP,Hydro,-29377.943538295884
263,Algeria,NCA,Hydro,-69.85667090402939
259,Algeria,NMC111,Hydro,-80.8589528475942
262,Algeria,NMC523,Hydro,-161.28755608489726
260,Algeria,NMC622,Hydro,-419.9589671329762
261,Algeria,NMC811,Hydro,-23833.930044105142
24,Andorra,LFP,Hydro,0.0
29,Andorra,NCA,Hydro,-1497.054278430432
25,Andorra,NMC111,Hydro,-1813.5088350298065
28,Andorra,NMC523,Hydro,-3573.6841664291974
26,Andorra,NMC622,Hydro,-8659.256644530866
27,Andorra,NMC811,Hydro,0.0
12,Angola,LFP,Hydro,0.0
17,Angola,NCA,Hydro,-195.8523927031497
13,Angola,NMC111,Hydro,-293.59111133880293
16,Angola,NMC523,Hydro,-498.9227843431285
14,Angola,NMC622,Hydro,-989.9570674005995
15,Angola,NMC811,Hydro,-4431.4820967827345
36,Argentina,LFP,Hydro,-15151.770999712913
41,Argentina,NCA,Hydro,-24.191625605422466
37,Argentina,NMC111,Hydro,-32.754849030459525
40,Argentina,NMC523,Hydro,-64.17653560859279
38,Argentina,NMC622,Hydro,-160.49832784269861
39,Argentina,NMC811,Hydro,-687.5081587389077
42,Armenia,LFP,Hydro,0.0
47,Armenia,NCA,Hydro,-402.67319043208624
43,Armenia,NMC111,Hydro,-605.6838361236928
46,Armenia,NMC523,Hydro,-855.1474703460115
44,Armenia,NMC622,Hydro,-1635.919446460714
45,Armenia,NMC811,Hydro,-4368.07076683406
0,Aruba,LFP,Hydro,0.0
5,Aruba,NCA,Hydro,-874.9014725119323
1,Aruba,NMC111,Hydro,-949.3269696183705
4,Aruba,NMC523,Hydro,-1526.20698127346
2,Aruba,NMC622,Hydro,-4039.868356881826
3,Aruba,NMC811,Hydro,-12577.57768638985
48,Australia,LFP,Hydro,-2922.351854576021
53,Australia,NCA,Hydro,-41.81805109537327
49,Australia,NMC111,Hydro,-75.52597963756293
52,Australia,NMC523,Hydro,-96.27124893632546
50,Australia,NMC622,Hydro,-184.70448138170693
51,Australia,NMC811,Hydro,-363.8662618622688
54,Austria,LFP,Hydro,-423.1517915686417
59,Austria,NCA,Hydro,-18.01397978553119
55,Austria,NMC111,Hydro,-21.89612934404634
58,Austria,NMC523,Hydro,-27.50501886665596
56,Austria,NMC622,Hydro,-56.14364771976915
57,Austria,NMC811,Hydro,-127.44800354171751
60,Azerbaijan,LFP,Hydro,-30214.59587174564
65,Azerbaijan,NCA,Hydro,-220.20427484118304
61,Azerbaijan,NMC111,Hydro,-308.2912177781933
64,Azerbaijan,NMC523,Hydro,-419.8674587810228
62,Azerbaijan,NMC622,Hydro,-866.355821979249
63,Azerbaijan,NMC811,Hydro,-2445.9016381677675
108,Bahamas,LFP,Hydro,0.0
113,Bahamas,NCA,Hydro,-65420.635258103684
109,Bahamas,NMC111,Hydro,-106964.95537864456
112,Bahamas,NMC523,Hydro,0.0
110,Bahamas,NMC622,Hydro,0.0
111,Bahamas,NMC811,Hydro,0.0
102,Bahrain,LFP,Hydro,0.0
107,Bahrain,NCA,Hydro,-364.93099006451826
103,Bahrain,NMC111,Hydro,-456.90910432285904
106,Bahrain,NMC523,Hydro,-679.5123513819088
104,Bahrain,NMC622,Hydro,-1512.684080079253
105,Bahrain,NMC811,Hydro,-7799.251668846811
90,Bangladesh,LFP,Hydro,0.0
95,Bangladesh,NCA,Hydro,-1419.4652839327098
91,Bangladesh,NMC111,Hydro,-1823.8100890648413
94,Bangladesh,NMC523,Hydro,-8131.195006767195
92,Bangladesh,NMC622,Hydro,0.0
93,Bangladesh,NMC811,Hydro,0.0
144,Barbados,LFP,Hydro,0.0
149,Barbados,NCA,Hydro,-4119.213599394415
145,Barbados,NMC111,Hydro,-10952.505125972943
148,Barbados,NMC523,Hydro,-9395.639804217462
146,Barbados,NMC622,Hydro,-15494.735584023696
147,Barbados,NMC811,Hydro,-19653.96979079537
120,Belarus,LFP,Hydro,-13640.52516077985
125,Belarus,NCA,Hydro,-105.14270463835784
121,Belarus,NMC111,Hydro,-157.444157811522
124,Belarus,NMC523,Hydro,-214.69736408519861
122,Belarus,NMC622,Hydro,-431.7838283036745
123,Belarus,NMC811,Hydro,-1051.021826855903
72,Belgium,LFP,Hydro,-363.86799588444086
77,Belgium,NCA,Hydro,-10.85127497481726
73,Belgium,NMC111,Hydro,-14.0142148253242
76,Belgium,NMC523,Hydro,-18.30940906777065
74,Belgium,NMC622,Hydro,-40.10220031942357
75,Belgium,NMC811,Hydro,-93.81853742093382
78,Benin,LFP,Hydro,0.0
83,Benin,NCA,Hydro,-612.101411999682
79,Benin,NMC111,Hydro,-1364.9492828577884
82,Benin,NMC523,Hydro,-1309.9695757757327
80,Benin,NMC622,Hydro,-2163.29775041153
81,Benin,NMC811,Hydro,-4567.54605640414
126,Bermuda,LFP,Hydro,0.0
131,Bermuda,NCA,Hydro,-537.9340402922649
127,Bermuda,NMC111,Hydro,-737.8395742391419
130,Bermuda,NMC523,Hydro,-963.8511257096354
128,Bermuda,NMC622,Hydro,-2079.8909121095485
129,Bermuda,NMC811,Hydro,-8783.878618795556
132,Bolivia (Plurinational State of),LFP,Hydro,-28410.86922277948
